year,Erma (F),Erma (M)
1880,0.000149,0.000000
1881,0.000145,0.000000
1882,0.000140,0.000000
1883,0.000175,0.000000
1884,0.000218,0.000000
1885,0.000228,0.000000
1886,0.000251,0.000000
1887,0.000251,0.000000
1888,0.000277,0.000000
1889,0.000332,0.000000
1890,0.000448,0.000000
1891,0.000485,0.000000
1892,0.000478,0.000000
1893,0.000477,0.000000
1894,0.000623,0.000000
1895,0.000578,0.000000
1896,0.000537,0.000000
1897,0.000614,0.000000
1898,0.000629,0.000000
1899,0.000728,0.000000
1900,0.000611,0.000000
1901,0.000682,0.000000
1902,0.000745,0.000000
1903,0.000792,0.000000
1904,0.000855,0.000000
1905,0.000778,0.000000
1906,0.001036,0.000000
1907,0.000943,0.000000
1908,0.000976,0.000000
1909,0.000953,0.000000
1910,0.000977,0.000010
1911,0.000922,0.000008
1912,0.000783,0.000007
1913,0.000761,0.000006
1914,0.000700,0.000004
1915,0.000750,0.000005
1916,0.000712,0.000004
1917,0.000716,0.000000
1918,0.000673,0.000004
1919,0.000710,0.000002
1920,0.000676,0.000005
1921,0.000654,0.000005
1922,0.000616,0.000003
1923,0.000603,0.000003
1924,0.000598,0.000004
1925,0.000639,0.000004
1926,0.000646,0.000000
1927,0.000595,0.000003
1928,0.000611,0.000002
1929,0.000569,0.000000
1930,0.000543,0.000005
1931,0.000547,0.000002
1932,0.000552,0.000006
1933,0.000492,0.000004
1934,0.000486,0.000003
1935,0.000444,0.000006
1936,0.000405,0.000003
1937,0.000392,0.000000
1938,0.000355,0.000002
1939,0.000359,0.000005
1940,0.000321,0.000000
1941,0.000298,0.000000
1942,0.000276,0.000003
1943,0.000254,0.000000
1944,0.000238,0.000003
1945,0.000226,0.000000
1946,0.000189,0.000000
1947,0.000169,0.000000
1948,0.000178,0.000002
1949,0.000157,0.000001
1950,0.000155,0.000000
1951,0.000134,0.000001
1952,0.000120,0.000000
1953,0.000108,0.000000
1954,0.000104,0.000000
1955,0.000089,0.000000
1956,0.000075,0.000000
1957,0.000085,0.000000
1958,0.000073,0.000000
1959,0.000065,0.000000
1960,0.000058,0.000000
1961,0.000058,0.000000
1962,0.000054,0.000000
1963,0.000046,0.000000
1964,0.000057,0.000000
1965,0.000042,0.000000
1966,0.000042,0.000000
1967,0.000028,0.000000
1968,0.000034,0.000000
1969,0.000031,0.000000
1970,0.000023,0.000000
1971,0.000023,0.000000
1972,0.000027,0.000000
1973,0.000022,0.000000
1974,0.000020,0.000000
1975,0.000023,0.000000
1976,0.000018,0.000000
1977,0.000015,0.000000
1978,0.000015,0.000000
1979,0.000013,0.000000
1980,0.000015,0.000000
1981,0.000012,0.000000
1982,0.000012,0.000000
1983,0.000011,0.000000
1984,0.000011,0.000000
1985,0.000010,0.000000
1986,0.000011,0.000000
1987,0.000011,0.000000
1988,0.000008,0.000000
1989,0.000008,0.000000
1990,0.000007,0.000000
1991,0.000008,0.000000
1992,0.000006,0.000000
1993,0.000008,0.000000
1994,0.000006,0.000000
1995,0.000005,0.000000
1996,0.000005,0.000000
1997,0.000006,0.000000
1998,0.000005,0.000000
1999,0.000002,0.000000
2000,0.000006,0.000000
2001,0.000004,0.000000
2002,0.000006,0.000000
2003,0.000005,0.000000
2004,0.000007,0.000000
2005,0.000005,0.000000
2006,0.000006,0.000000
2007,0.000006,0.000000
2008,0.000007,0.000000
2009,0.000003,0.000000
2010,0.000004,0.000000
2011,0.000004,0.000000
2012,0.000005,0.000000
2013,0.000004,0.000000
