year,Elvina
1880,5
1881,9
1882,9
1883,7
1884,8
1885,9
1886,10
1887,10
1888,11
1889,16
1890,11
1891,12
1892,20
1893,23
1894,13
1895,22
1896,23
1897,20
1898,18
1899,9
1900,15
1901,14
1902,23
1903,21
1904,18
1905,23
1906,20
1907,15
1908,21
1909,24
1910,29
1911,28
1912,28
1913,30
1914,45
1915,54
1916,60
1917,71
1918,66
1919,46
1920,77
1921,65
1922,66
1923,57
1924,54
1925,49
1926,41
1927,40
1928,47
1929,41
1930,54
1931,33
1932,29
1933,30
1934,31
1935,32
1936,27
1937,26
1938,38
1939,14
1940,14
1941,23
1942,24
1943,31
1944,20
1945,13
1946,16
1947,20
1948,17
1949,19
1950,17
1951,12
1952,16
1953,25
1954,13
1955,17
1956,15
1957,9
1958,15
1959,10
1960,14
1961,14
1962,9
1963,14
1964,9
1965,6
1966,6
1967,8
1968,9
1969,8
1970,11
1971,0
1972,8
1973,7
1974,7
1975,5
1976,5
1977,7
1978,5
1979,10
1980,14
1981,13
1982,7
1983,8
1984,7
1985,9
1986,7
1987,6
1988,7
1989,7
1990,7
1991,0
1992,0
1993,6
1994,0
1995,5
1996,5
1997,6
1998,5
1999,7
2000,0
2001,0
2002,10
2003,5
2004,0
2005,13
2006,6
2007,0
2008,10
2009,9
2010,6
2011,13
2012,9
