year,Cyrilla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,5
1908,7
1909,5
1910,0
1911,5
1912,7
1913,11
1914,10
1915,15
1916,17
1917,26
1918,16
1919,9
1920,15
1921,17
1922,20
1923,13
1924,18
1925,20
1926,18
1927,20
1928,6
1929,10
1930,11
1931,13
1932,7
1933,0
1934,10
1935,7
1936,10
1937,9
1938,7
1939,6
1940,10
1941,0
1942,8
1943,11
1944,8
1945,7
1946,5
1947,10
1948,8
1949,6
1950,6
1951,8
1952,9
1953,0
1954,0
1955,5
1956,5
1957,0
1958,0
1959,6
1960,0
1961,0
1962,0
1963,0
1964,0
1965,7
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
