year,Chantelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,31
1964,30
1965,33
1966,35
1967,43
1968,109
1969,100
1970,126
1971,139
1972,139
1973,125
1974,131
1975,121
1976,148
1977,133
1978,100
1979,142
1980,147
1981,159
1982,161
1983,172
1984,166
1985,234
1986,246
1987,259
1988,242
1989,310
1990,289
1991,281
1992,265
1993,224
1994,199
1995,195
1996,175
1997,135
1998,122
1999,100
2000,77
2001,74
2002,50
2003,59
2004,66
2005,47
2006,53
2007,32
2008,36
2009,38
2010,32
2011,35
2012,29
