year,Cesar (F),Cesar (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000007
1917,0.000000,0.000003
1918,0.000000,0.000003
1919,0.000000,0.000004
1920,0.000000,0.000005
1921,0.000000,0.000004
1922,0.000000,0.000004
1923,0.000000,0.000007
1924,0.000000,0.000006
1925,0.000000,0.000007
1926,0.000000,0.000006
1927,0.000000,0.000007
1928,0.000000,0.000007
1929,0.000000,0.000007
1930,0.000000,0.000009
1931,0.000000,0.000011
1932,0.000000,0.000007
1933,0.000000,0.000008
1934,0.000000,0.000007
1935,0.000000,0.000008
1936,0.000000,0.000010
1937,0.000000,0.000008
1938,0.000000,0.000011
1939,0.000000,0.000009
1940,0.000000,0.000006
1941,0.000000,0.000010
1942,0.000000,0.000009
1943,0.000000,0.000009
1944,0.000000,0.000010
1945,0.000000,0.000010
1946,0.000000,0.000012
1947,0.000000,0.000012
1948,0.000000,0.000015
1949,0.000000,0.000016
1950,0.000000,0.000015
1951,0.000000,0.000013
1952,0.000000,0.000017
1953,0.000000,0.000018
1954,0.000000,0.000019
1955,0.000000,0.000023
1956,0.000000,0.000024
1957,0.000000,0.000027
1958,0.000000,0.000030
1959,0.000000,0.000030
1960,0.000000,0.000036
1961,0.000000,0.000037
1962,0.000000,0.000041
1963,0.000000,0.000043
1964,0.000000,0.000055
1965,0.000001,0.000061
1966,0.000000,0.000061
1967,0.000000,0.000073
1968,0.000000,0.000080
1969,0.000000,0.000102
1970,0.000000,0.000118
1971,0.000002,0.000127
1972,0.000000,0.000157
1973,0.000002,0.000184
1974,0.000003,0.000221
1975,0.000002,0.000224
1976,0.000002,0.000237
1977,0.000000,0.000215
1978,0.000003,0.000231
1979,0.000003,0.000229
1980,0.000003,0.000239
1981,0.000003,0.000264
1982,0.000002,0.000245
1983,0.000003,0.000227
1984,0.000001,0.000248
1985,0.000002,0.000251
1986,0.000004,0.000247
1987,0.000000,0.000235
1988,0.000002,0.000284
1989,0.000002,0.000323
1990,0.000004,0.000381
1991,0.000005,0.000388
1992,0.000002,0.000417
1993,0.000004,0.000493
1994,0.000002,0.000478
1995,0.000004,0.000514
1996,0.000002,0.000545
1997,0.000003,0.000492
1998,0.000002,0.000544
1999,0.000001,0.000524
2000,0.000002,0.000598
2001,0.000003,0.000635
2002,0.000003,0.000634
2003,0.000002,0.000620
2004,0.000000,0.000664
2005,0.000003,0.000655
2006,0.000001,0.000625
2007,0.000002,0.000607
2008,0.000002,0.000602
2009,0.000000,0.000503
2010,0.000000,0.000493
2011,0.000000,0.000441
2012,0.000001,0.000393
2013,0.000000,0.000373
2014,0.000000,0.000347
2015,0.000000,0.000353
2016,0.000000,0.000316
2017,0.000000,0.000309
2018,0.000000,0.000285
2019,0.000000,0.000290
2020,0.000000,0.000251
