year,Cassaundra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,9
1948,8
1949,5
1950,14
1951,5
1952,7
1953,5
1954,6
1955,0
1956,5
1957,14
1958,15
1959,12
1960,22
1961,18
1962,17
1963,26
1964,22
1965,32
1966,20
1967,38
1968,43
1969,40
1970,49
1971,39
1972,37
1973,27
1974,25
1975,23
1976,20
1977,25
1978,23
1979,32
1980,29
1981,31
1982,66
1983,53
1984,46
1985,59
1986,92
1987,82
1988,99
1989,149
1990,115
1991,130
1992,123
1993,106
1994,64
1995,74
1996,69
1997,54
1998,37
1999,40
2000,36
2001,21
2002,20
2003,23
2004,14
2005,14
2006,8
2007,11
2008,11
2009,9
2010,11
2011,0
2012,5
