year,Candyce
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,7
1944,8
1945,25
1946,46
1947,75
1948,69
1949,91
1950,82
1951,85
1952,98
1953,100
1954,68
1955,76
1956,81
1957,58
1958,49
1959,43
1960,25
1961,25
1962,30
1963,17
1964,19
1965,16
1966,17
1967,25
1968,22
1969,20
1970,31
1971,39
1972,35
1973,34
1974,20
1975,35
1976,17
1977,26
1978,35
1979,36
1980,56
1981,70
1982,68
1983,89
1984,86
1985,102
1986,82
1987,79
1988,75
1989,63
1990,55
1991,52
1992,53
1993,48
1994,43
1995,18
1996,24
1997,21
1998,33
1999,39
2000,28
2001,19
2002,21
2003,19
2004,21
2005,21
2006,15
2007,24
2008,15
2009,10
2010,7
2011,8
2012,14
