year,Christy (F),Christy (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000020,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000020
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000013,0.000000
1899,0.000015,0.000000
1900,0.000000,0.000016
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000012,0.000014
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000016
1912,0.000000,0.000005
1913,0.000004,0.000009
1914,0.000000,0.000018
1915,0.000000,0.000011
1916,0.000003,0.000014
1917,0.000003,0.000007
1918,0.000004,0.000012
1919,0.000000,0.000017
1920,0.000003,0.000009
1921,0.000000,0.000017
1922,0.000000,0.000020
1923,0.000004,0.000010
1924,0.000003,0.000016
1925,0.000003,0.000012
1926,0.000003,0.000019
1927,0.000004,0.000014
1928,0.000003,0.000014
1929,0.000005,0.000013
1930,0.000006,0.000011
1931,0.000002,0.000013
1932,0.000003,0.000012
1933,0.000004,0.000011
1934,0.000005,0.000013
1935,0.000009,0.000011
1936,0.000006,0.000008
1937,0.000003,0.000008
1938,0.000003,0.000009
1939,0.000011,0.000007
1940,0.000013,0.000007
1941,0.000016,0.000010
1942,0.000034,0.000006
1943,0.000028,0.000007
1944,0.000026,0.000008
1945,0.000031,0.000007
1946,0.000057,0.000008
1947,0.000077,0.000006
1948,0.000078,0.000008
1949,0.000121,0.000011
1950,0.000136,0.000008
1951,0.000153,0.000009
1952,0.000197,0.000010
1953,0.000161,0.000008
1954,0.000165,0.000007
1955,0.000208,0.000008
1956,0.000209,0.000006
1957,0.000228,0.000007
1958,0.000270,0.000008
1959,0.000246,0.000007
1960,0.000280,0.000004
1961,0.000281,0.000007
1962,0.000264,0.000005
1963,0.000306,0.000007
1964,0.000353,0.000005
1965,0.000311,0.000005
1966,0.000327,0.000004
1967,0.000387,0.000004
1968,0.000633,0.000005
1969,0.000878,0.000007
1970,0.001029,0.000008
1971,0.001145,0.000009
1972,0.001333,0.000007
1973,0.001366,0.000005
1974,0.001667,0.000010
1975,0.001712,0.000008
1976,0.001598,0.000011
1977,0.001449,0.000007
1978,0.001469,0.000006
1979,0.001288,0.000007
1980,0.001067,0.000005
1981,0.000850,0.000003
1982,0.000741,0.000004
1983,0.000570,0.000004
1984,0.000581,0.000003
1985,0.000544,0.000003
1986,0.000437,0.000006
1987,0.000359,0.000003
1988,0.000306,0.000003
1989,0.000284,0.000000
1990,0.000246,0.000002
1991,0.000205,0.000002
1992,0.000187,0.000002
1993,0.000162,0.000002
1994,0.000171,0.000001
1995,0.000157,0.000000
1996,0.000149,0.000002
1997,0.000111,0.000002
1998,0.000107,0.000000
1999,0.000091,0.000000
2000,0.000096,0.000000
2001,0.000080,0.000001
2002,0.000076,0.000000
2003,0.000064,0.000000
2004,0.000060,0.000001
2005,0.000058,0.000000
2006,0.000048,0.000000
2007,0.000037,0.000000
2008,0.000040,0.000000
2009,0.000031,0.000000
2010,0.000034,0.000001
2011,0.000035,0.000001
2012,0.000028,0.000000
2013,0.000023,0.000000
