year,Carey (F),Carey (M)
1880,0.000030,0.000065
1881,0.000000,0.000042
1882,0.000000,0.000081
1883,0.000000,0.000088
1884,0.000000,0.000099
1885,0.000000,0.000054
1886,0.000000,0.000020
1887,0.000000,0.000065
1888,0.000000,0.000043
1889,0.000000,0.000052
1890,0.000000,0.000036
1891,0.000000,0.000038
1892,0.000018,0.000057
1893,0.000000,0.000034
1894,0.000000,0.000035
1895,0.000014,0.000048
1896,0.000000,0.000042
1897,0.000000,0.000058
1898,0.000000,0.000058
1899,0.000018,0.000038
1900,0.000000,0.000058
1901,0.000000,0.000032
1902,0.000013,0.000031
1903,0.000000,0.000042
1904,0.000000,0.000042
1905,0.000017,0.000045
1906,0.000014,0.000035
1907,0.000000,0.000024
1908,0.000000,0.000035
1909,0.000000,0.000025
1910,0.000010,0.000042
1911,0.000000,0.000022
1912,0.000007,0.000036
1913,0.000009,0.000034
1914,0.000009,0.000048
1915,0.000007,0.000032
1916,0.000007,0.000033
1917,0.000006,0.000040
1918,0.000002,0.000027
1919,0.000009,0.000036
1920,0.000007,0.000028
1921,0.000005,0.000029
1922,0.000003,0.000037
1923,0.000007,0.000030
1924,0.000007,0.000028
1925,0.000006,0.000028
1926,0.000006,0.000034
1927,0.000006,0.000030
1928,0.000003,0.000027
1929,0.000004,0.000037
1930,0.000003,0.000029
1931,0.000007,0.000028
1932,0.000006,0.000036
1933,0.000007,0.000031
1934,0.000007,0.000045
1935,0.000009,0.000038
1936,0.000009,0.000039
1937,0.000006,0.000040
1938,0.000008,0.000046
1939,0.000006,0.000039
1940,0.000006,0.000042
1941,0.000009,0.000043
1942,0.000011,0.000048
1943,0.000010,0.000046
1944,0.000011,0.000052
1945,0.000006,0.000050
1946,0.000010,0.000054
1947,0.000008,0.000063
1948,0.000015,0.000067
1949,0.000013,0.000056
1950,0.000019,0.000078
1951,0.000018,0.000079
1952,0.000021,0.000089
1953,0.000028,0.000083
1954,0.000034,0.000101
1955,0.000034,0.000090
1956,0.000038,0.000088
1957,0.000034,0.000110
1958,0.000037,0.000097
1959,0.000033,0.000106
1960,0.000033,0.000089
1961,0.000039,0.000080
1962,0.000045,0.000081
1963,0.000041,0.000085
1964,0.000039,0.000085
1965,0.000041,0.000078
1966,0.000047,0.000089
1967,0.000075,0.000095
1968,0.000096,0.000100
1969,0.000107,0.000099
1970,0.000114,0.000090
1971,0.000147,0.000102
1972,0.000153,0.000090
1973,0.000186,0.000092
1974,0.000216,0.000098
1975,0.000250,0.000100
1976,0.000228,0.000085
1977,0.000189,0.000080
1978,0.000168,0.000071
1979,0.000122,0.000060
1980,0.000099,0.000049
1981,0.000079,0.000047
1982,0.000073,0.000049
1983,0.000064,0.000049
1984,0.000058,0.000045
1985,0.000049,0.000048
1986,0.000043,0.000044
1987,0.000043,0.000039
1988,0.000033,0.000045
1989,0.000034,0.000037
1990,0.000024,0.000036
1991,0.000031,0.000034
1992,0.000026,0.000033
1993,0.000023,0.000027
1994,0.000026,0.000022
1995,0.000020,0.000020
1996,0.000017,0.000020
1997,0.000015,0.000018
1998,0.000014,0.000012
1999,0.000015,0.000014
2000,0.000010,0.000011
2001,0.000010,0.000013
2002,0.000007,0.000013
2003,0.000008,0.000007
2004,0.000006,0.000009
2005,0.000007,0.000007
2006,0.000004,0.000008
2007,0.000006,0.000010
2008,0.000002,0.000007
2009,0.000005,0.000007
2010,0.000005,0.000007
2011,0.000002,0.000008
2012,0.000003,0.000008
2013,0.000002,0.000007
