year,Carter (F),Carter (M)
1880,0.000000,0.000000
1881,0.000000,0.000062
1882,0.000000,0.000000
1883,0.000000,0.000051
1884,0.000000,0.000053
1885,0.000000,0.000042
1886,0.000000,0.000059
1887,0.000000,0.000053
1888,0.000000,0.000050
1889,0.000000,0.000038
1890,0.000000,0.000027
1891,0.000000,0.000045
1892,0.000000,0.000054
1893,0.000000,0.000040
1894,0.000000,0.000047
1895,0.000000,0.000026
1896,0.000000,0.000036
1897,0.000000,0.000046
1898,0.000000,0.000037
1899,0.000000,0.000041
1900,0.000000,0.000069
1901,0.000000,0.000038
1902,0.000000,0.000028
1903,0.000000,0.000060
1904,0.000000,0.000062
1905,0.000000,0.000038
1906,0.000000,0.000035
1907,0.000000,0.000039
1908,0.000000,0.000051
1909,0.000000,0.000043
1910,0.000000,0.000044
1911,0.000000,0.000040
1912,0.000000,0.000046
1913,0.000000,0.000033
1914,0.000000,0.000065
1915,0.000000,0.000043
1916,0.000000,0.000043
1917,0.000000,0.000045
1918,0.000002,0.000044
1919,0.000000,0.000051
1920,0.000002,0.000043
1921,0.000000,0.000036
1922,0.000000,0.000041
1923,0.000000,0.000036
1924,0.000000,0.000047
1925,0.000003,0.000038
1926,0.000000,0.000039
1927,0.000004,0.000037
1928,0.000000,0.000035
1929,0.000000,0.000032
1930,0.000000,0.000028
1931,0.000003,0.000037
1932,0.000000,0.000033
1933,0.000000,0.000038
1934,0.000000,0.000047
1935,0.000000,0.000048
1936,0.000000,0.000047
1937,0.000000,0.000046
1938,0.000000,0.000048
1939,0.000003,0.000035
1940,0.000003,0.000038
1941,0.000003,0.000045
1942,0.000000,0.000041
1943,0.000002,0.000046
1944,0.000002,0.000045
1945,0.000000,0.000048
1946,0.000000,0.000046
1947,0.000000,0.000049
1948,0.000003,0.000044
1949,0.000002,0.000051
1950,0.000002,0.000049
1951,0.000002,0.000047
1952,0.000002,0.000041
1953,0.000002,0.000042
1954,0.000000,0.000047
1955,0.000002,0.000037
1956,0.000002,0.000043
1957,0.000001,0.000033
1958,0.000001,0.000040
1959,0.000002,0.000032
1960,0.000000,0.000033
1961,0.000001,0.000032
1962,0.000002,0.000032
1963,0.000002,0.000040
1964,0.000001,0.000034
1965,0.000002,0.000032
1966,0.000000,0.000037
1967,0.000000,0.000042
1968,0.000002,0.000037
1969,0.000002,0.000043
1970,0.000002,0.000043
1971,0.000003,0.000058
1972,0.000003,0.000052
1973,0.000004,0.000044
1974,0.000005,0.000047
1975,0.000003,0.000054
1976,0.000005,0.000052
1977,0.000003,0.000038
1978,0.000003,0.000022
1979,0.000000,0.000019
1980,0.000002,0.000026
1981,0.000003,0.000026
1982,0.000003,0.000033
1983,0.000003,0.000034
1984,0.000004,0.000038
1985,0.000007,0.000049
1986,0.000006,0.000051
1987,0.000007,0.000059
1988,0.000004,0.000072
1989,0.000006,0.000077
1990,0.000008,0.000084
1991,0.000011,0.000101
1992,0.000008,0.000127
1993,0.000012,0.000146
1994,0.000012,0.000146
1995,0.000016,0.000251
1996,0.000018,0.000334
1997,0.000017,0.000425
1998,0.000017,0.000490
1999,0.000022,0.000526
2000,0.000024,0.000675
2001,0.000021,0.000918
2002,0.000018,0.000932
2003,0.000027,0.001098
2004,0.000030,0.001312
2005,0.000031,0.001536
2006,0.000031,0.001628
2007,0.000026,0.001528
2008,0.000027,0.001799
2009,0.000031,0.002142
2010,0.000043,0.002210
2011,0.000054,0.002357
2012,0.000067,0.002538
2013,0.000083,0.002636
