year,Curt (F),Curt (M)
1880,0.000000,0.000030
1881,0.000000,0.000062
1882,0.000000,0.000000
1883,0.000000,0.000028
1884,0.000000,0.000029
1885,0.000000,0.000025
1886,0.000000,0.000020
1887,0.000000,0.000024
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000024
1892,0.000000,0.000000
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000000,0.000014
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000018
1904,0.000000,0.000000
1905,0.000000,0.000021
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000018
1910,0.000000,0.000014
1911,0.000000,0.000009
1912,0.000000,0.000013
1913,0.000000,0.000011
1914,0.000000,0.000012
1915,0.000000,0.000014
1916,0.000000,0.000011
1917,0.000000,0.000010
1918,0.000000,0.000007
1919,0.000000,0.000013
1920,0.000000,0.000010
1921,0.000000,0.000010
1922,0.000000,0.000011
1923,0.000000,0.000007
1924,0.000000,0.000011
1925,0.000000,0.000011
1926,0.000000,0.000008
1927,0.000000,0.000008
1928,0.000000,0.000011
1929,0.000000,0.000009
1930,0.000000,0.000013
1931,0.000000,0.000010
1932,0.000000,0.000009
1933,0.000000,0.000012
1934,0.000000,0.000019
1935,0.000000,0.000015
1936,0.000000,0.000015
1937,0.000000,0.000017
1938,0.000000,0.000017
1939,0.000000,0.000020
1940,0.000000,0.000017
1941,0.000000,0.000023
1942,0.000000,0.000024
1943,0.000000,0.000022
1944,0.000000,0.000026
1945,0.000000,0.000030
1946,0.000000,0.000029
1947,0.000000,0.000035
1948,0.000000,0.000037
1949,0.000000,0.000033
1950,0.000000,0.000043
1951,0.000000,0.000053
1952,0.000000,0.000068
1953,0.000000,0.000066
1954,0.000000,0.000078
1955,0.000000,0.000073
1956,0.000000,0.000086
1957,0.000000,0.000105
1958,0.000000,0.000145
1959,0.000000,0.000158
1960,0.000000,0.000173
1961,0.000000,0.000159
1962,0.000000,0.000168
1963,0.000000,0.000159
1964,0.000000,0.000171
1965,0.000000,0.000160
1966,0.000000,0.000143
1967,0.000000,0.000149
1968,0.000000,0.000159
1969,0.000000,0.000147
1970,0.000000,0.000129
1971,0.000000,0.000110
1972,0.000000,0.000121
1973,0.000000,0.000108
1974,0.000000,0.000089
1975,0.000000,0.000077
1976,0.000000,0.000070
1977,0.000000,0.000069
1978,0.000000,0.000071
1979,0.000000,0.000075
1980,0.000000,0.000066
1981,0.000000,0.000058
1982,0.000000,0.000051
1983,0.000000,0.000042
1984,0.000000,0.000046
1985,0.000000,0.000044
1986,0.000000,0.000044
1987,0.000000,0.000038
1988,0.000000,0.000034
1989,0.000000,0.000024
1990,0.000000,0.000026
1991,0.000000,0.000020
1992,0.000000,0.000017
1993,0.000000,0.000016
1994,0.000000,0.000013
1995,0.000000,0.000017
1996,0.000000,0.000012
1997,0.000000,0.000011
1998,0.000000,0.000011
1999,0.000000,0.000010
2000,0.000000,0.000009
2001,0.000000,0.000009
2002,0.000000,0.000008
2003,0.000000,0.000009
2004,0.000000,0.000008
2005,0.000000,0.000007
2006,0.000000,0.000005
2007,0.000000,0.000005
2008,0.000000,0.000004
2009,0.000000,0.000006
2010,0.000000,0.000002
2011,0.000000,0.000004
2012,0.000000,0.000003
