year,Cathaleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,8
1918,0
1919,5
1920,0
1921,0
1922,0
1923,5
1924,7
1925,5
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,5
1933,5
1934,0
1935,0
1936,0
1937,0
1938,6
1939,0
1940,5
1941,0
1942,5
1943,5
1944,0
1945,0
1946,8
1947,10
1948,12
1949,7
1950,11
1951,19
1952,17
1953,6
1954,12
1955,12
1956,20
1957,13
1958,17
1959,14
1960,5
1961,5
1962,9
1963,0
1964,9
1965,7
1966,5
1967,0
1968,7
1969,11
1970,5
1971,6
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
