year,Carline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,6
1909,5
1910,6
1911,9
1912,5
1913,5
1914,9
1915,12
1916,10
1917,11
1918,13
1919,13
1920,15
1921,16
1922,14
1923,17
1924,22
1925,18
1926,20
1927,19
1928,21
1929,24
1930,25
1931,14
1932,21
1933,20
1934,20
1935,22
1936,22
1937,19
1938,24
1939,24
1940,16
1941,28
1942,28
1943,19
1944,25
1945,19
1946,24
1947,28
1948,20
1949,35
1950,25
1951,19
1952,21
1953,21
1954,18
1955,23
1956,25
1957,18
1958,24
1959,16
1960,22
1961,22
1962,26
1963,21
1964,20
1965,18
1966,17
1967,24
1968,26
1969,14
1970,20
1971,15
1972,23
1973,14
1974,18
1975,20
1976,22
1977,16
1978,13
1979,19
1980,15
1981,15
1982,12
1983,13
1984,21
1985,19
1986,14
1987,10
1988,11
1989,12
1990,23
1991,15
1992,15
1993,14
1994,9
1995,14
1996,12
1997,5
1998,5
1999,11
2000,6
2001,6
2002,0
2003,9
2004,5
2005,5
2006,0
2007,0
2008,8
2009,0
2010,0
2011,0
2012,0
