year,Claudis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,10
1915,0
1916,10
1917,15
1918,13
1919,14
1920,9
1921,13
1922,10
1923,10
1924,12
1925,7
1926,9
1927,0
1928,8
1929,6
1930,9
1931,5
1932,7
1933,8
1934,5
1935,9
1936,8
1937,12
1938,5
1939,0
1940,6
1941,5
1942,14
1943,8
1944,6
1945,0
1946,8
1947,0
1948,9
1949,6
1950,9
1951,8
1952,6
1953,5
1954,7
1955,6
1956,7
1957,7
1958,9
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,6
1967,0
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
