year,Cosme
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,6
1913,0
1914,8
1915,5
1916,5
1917,5
1918,11
1919,6
1920,11
1921,6
1922,20
1923,12
1924,19
1925,11
1926,10
1927,12
1928,9
1929,17
1930,11
1931,7
1932,5
1933,8
1934,8
1935,9
1936,7
1937,8
1938,6
1939,12
1940,0
1941,8
1942,5
1943,9
1944,14
1945,12
1946,10
1947,7
1948,11
1949,10
1950,7
1951,8
1952,12
1953,7
1954,15
1955,13
1956,11
1957,14
1958,12
1959,7
1960,12
1961,7
1962,9
1963,7
1964,6
1965,11
1966,13
1967,11
1968,10
1969,13
1970,9
1971,12
1972,12
1973,21
1974,14
1975,12
1976,14
1977,15
1978,18
1979,11
1980,14
1981,13
1982,16
1983,15
1984,20
1985,18
1986,17
1987,16
1988,18
1989,17
1990,23
1991,17
1992,23
1993,19
1994,21
1995,22
1996,15
1997,12
1998,19
1999,15
2000,25
2001,19
2002,13
2003,20
2004,15
2005,21
2006,20
2007,16
2008,17
2009,0
2010,11
2011,11
2012,12
