year,Caldonia
1880,0
1881,0
1882,8
1883,6
1884,5
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,7
1892,7
1893,6
1894,0
1895,10
1896,9
1897,5
1898,6
1899,6
1900,15
1901,9
1902,5
1903,7
1904,11
1905,10
1906,17
1907,10
1908,11
1909,14
1910,14
1911,7
1912,12
1913,12
1914,17
1915,17
1916,16
1917,21
1918,26
1919,27
1920,13
1921,18
1922,17
1923,22
1924,14
1925,22
1926,19
1927,18
1928,10
1929,5
1930,13
1931,6
1932,8
1933,8
1934,9
1935,18
1936,8
1937,5
1938,7
1939,8
1940,7
1941,7
1942,12
1943,11
1944,0
1945,23
1946,10
1947,7
1948,7
1949,10
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
