year,Chuck (F),Chuck (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000006
1915,0.000000,0.000000
1916,0.000000,0.000003
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000005
1920,0.000000,0.000005
1921,0.000000,0.000005
1922,0.000000,0.000005
1923,0.000000,0.000005
1924,0.000000,0.000007
1925,0.000000,0.000005
1926,0.000000,0.000014
1927,0.000000,0.000012
1928,0.000000,0.000014
1929,0.000000,0.000012
1930,0.000000,0.000014
1931,0.000000,0.000014
1932,0.000000,0.000023
1933,0.000000,0.000026
1934,0.000000,0.000035
1935,0.000000,0.000033
1936,0.000000,0.000035
1937,0.000000,0.000046
1938,0.000000,0.000047
1939,0.000000,0.000039
1940,0.000000,0.000053
1941,0.000000,0.000055
1942,0.000000,0.000063
1943,0.000000,0.000066
1944,0.000000,0.000077
1945,0.000000,0.000092
1946,0.000000,0.000105
1947,0.000000,0.000099
1948,0.000000,0.000094
1949,0.000000,0.000076
1950,0.000000,0.000059
1951,0.000000,0.000039
1952,0.000000,0.000040
1953,0.000000,0.000042
1954,0.000000,0.000038
1955,0.000000,0.000051
1956,0.000001,0.000083
1957,0.000000,0.000150
1958,0.000000,0.000219
1959,0.000000,0.000294
1960,0.000000,0.000307
1961,0.000000,0.000310
1962,0.000000,0.000278
1963,0.000000,0.000246
1964,0.000000,0.000204
1965,0.000000,0.000164
1966,0.000000,0.000125
1967,0.000000,0.000110
1968,0.000000,0.000108
1969,0.000000,0.000118
1970,0.000000,0.000096
1971,0.000000,0.000078
1972,0.000000,0.000072
1973,0.000000,0.000062
1974,0.000000,0.000058
1975,0.000000,0.000070
1976,0.000000,0.000049
1977,0.000000,0.000043
1978,0.000000,0.000032
1979,0.000000,0.000024
1980,0.000000,0.000019
1981,0.000000,0.000019
1982,0.000000,0.000023
1983,0.000000,0.000019
1984,0.000000,0.000016
1985,0.000000,0.000016
1986,0.000000,0.000014
1987,0.000000,0.000013
1988,0.000000,0.000014
1989,0.000000,0.000010
1990,0.000000,0.000009
1991,0.000000,0.000006
1992,0.000000,0.000008
1993,0.000000,0.000008
1994,0.000000,0.000006
1995,0.000000,0.000004
1996,0.000000,0.000005
1997,0.000000,0.000006
1998,0.000000,0.000004
1999,0.000000,0.000003
2000,0.000000,0.000005
2001,0.000000,0.000005
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000001
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000004
2008,0.000000,0.000002
2009,0.000000,0.000003
2010,0.000000,0.000001
2011,0.000000,0.000000
2012,0.000000,0.000002
