year,Cindi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,9
1943,0
1944,6
1945,9
1946,29
1947,28
1948,37
1949,21
1950,26
1951,41
1952,58
1953,144
1954,116
1955,118
1956,239
1957,457
1958,481
1959,470
1960,455
1961,398
1962,330
1963,292
1964,307
1965,241
1966,204
1967,199
1968,190
1969,191
1970,204
1971,208
1972,178
1973,138
1974,118
1975,115
1976,100
1977,95
1978,83
1979,89
1980,85
1981,97
1982,73
1983,73
1984,66
1985,56
1986,48
1987,50
1988,57
1989,47
1990,39
1991,52
1992,38
1993,39
1994,48
1995,37
1996,39
1997,27
1998,20
1999,27
2000,27
2001,35
2002,18
2003,10
2004,22
2005,27
2006,30
2007,21
2008,12
2009,8
2010,19
2011,9
2012,5
