year,Clarene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,0
1914,9
1915,9
1916,6
1917,14
1918,9
1919,15
1920,13
1921,13
1922,12
1923,15
1924,15
1925,14
1926,18
1927,18
1928,17
1929,15
1930,19
1931,18
1932,27
1933,17
1934,16
1935,12
1936,19
1937,28
1938,22
1939,25
1940,27
1941,20
1942,21
1943,16
1944,14
1945,15
1946,13
1947,17
1948,21
1949,18
1950,17
1951,11
1952,7
1953,8
1954,11
1955,11
1956,9
1957,7
1958,0
1959,7
1960,5
1961,5
1962,8
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
