year,Clella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,6
1887,6
1888,9
1889,0
1890,5
1891,0
1892,9
1893,8
1894,9
1895,8
1896,8
1897,6
1898,13
1899,15
1900,15
1901,9
1902,6
1903,5
1904,11
1905,12
1906,11
1907,8
1908,7
1909,10
1910,12
1911,7
1912,20
1913,11
1914,13
1915,36
1916,32
1917,32
1918,31
1919,18
1920,28
1921,28
1922,29
1923,23
1924,26
1925,19
1926,16
1927,13
1928,19
1929,14
1930,16
1931,18
1932,9
1933,19
1934,17
1935,19
1936,8
1937,14
1938,17
1939,13
1940,12
1941,8
1942,7
1943,7
1944,10
1945,6
1946,6
1947,5
1948,10
1949,7
1950,0
1951,0
1952,8
1953,0
1954,5
1955,5
1956,0
1957,5
1958,7
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
