year,Ceasar
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,5
1900,8
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,7
1912,0
1913,10
1914,10
1915,12
1916,14
1917,19
1918,18
1919,15
1920,20
1921,17
1922,16
1923,16
1924,12
1925,12
1926,20
1927,18
1928,18
1929,18
1930,6
1931,9
1932,9
1933,9
1934,12
1935,9
1936,17
1937,14
1938,15
1939,10
1940,14
1941,12
1942,15
1943,18
1944,17
1945,19
1946,13
1947,19
1948,10
1949,14
1950,22
1951,23
1952,15
1953,24
1954,26
1955,32
1956,31
1957,25
1958,28
1959,24
1960,26
1961,27
1962,19
1963,25
1964,18
1965,22
1966,24
1967,26
1968,27
1969,35
1970,38
1971,27
1972,44
1973,35
1974,24
1975,48
1976,43
1977,32
1978,28
1979,38
1980,47
1981,40
1982,39
1983,34
1984,35
1985,41
1986,46
1987,47
1988,49
1989,58
1990,47
1991,54
1992,57
1993,65
1994,58
1995,53
1996,66
1997,66
1998,72
1999,70
2000,67
2001,65
2002,63
2003,72
2004,72
2005,63
2006,73
2007,58
2008,73
2009,57
2010,51
2011,35
2012,36
