year,Claud (F),Claud (M)
1880,0.000000,0.000447
1881,0.000000,0.000415
1882,0.000000,0.000406
1883,0.000000,0.000419
1884,0.000000,0.000349
1885,0.000000,0.000403
1886,0.000000,0.000376
1887,0.000000,0.000311
1888,0.000000,0.000291
1889,0.000000,0.000305
1890,0.000000,0.000302
1891,0.000000,0.000258
1892,0.000000,0.000233
1893,0.000000,0.000295
1894,0.000000,0.000286
1895,0.000000,0.000251
1896,0.000000,0.000252
1897,0.000000,0.000242
1898,0.000000,0.000160
1899,0.000000,0.000200
1900,0.000000,0.000238
1901,0.000000,0.000208
1902,0.000000,0.000197
1903,0.000000,0.000202
1904,0.000000,0.000211
1905,0.000000,0.000212
1906,0.000000,0.000198
1907,0.000000,0.000176
1908,0.000000,0.000131
1909,0.000000,0.000143
1910,0.000000,0.000132
1911,0.000000,0.000151
1912,0.000000,0.000148
1913,0.000000,0.000142
1914,0.000000,0.000132
1915,0.000000,0.000148
1916,0.000000,0.000159
1917,0.000000,0.000146
1918,0.000003,0.000146
1919,0.000003,0.000163
1920,0.000002,0.000137
1921,0.000000,0.000124
1922,0.000000,0.000126
1923,0.000003,0.000129
1924,0.000000,0.000128
1925,0.000002,0.000133
1926,0.000000,0.000110
1927,0.000000,0.000105
1928,0.000000,0.000106
1929,0.000000,0.000089
1930,0.000004,0.000088
1931,0.000000,0.000086
1932,0.000000,0.000074
1933,0.000000,0.000073
1934,0.000000,0.000069
1935,0.000000,0.000060
1936,0.000000,0.000062
1937,0.000000,0.000054
1938,0.000000,0.000050
1939,0.000000,0.000042
1940,0.000000,0.000049
1941,0.000000,0.000042
1942,0.000002,0.000037
1943,0.000002,0.000036
1944,0.000000,0.000038
1945,0.000000,0.000028
1946,0.000000,0.000028
1947,0.000000,0.000029
1948,0.000000,0.000026
1949,0.000000,0.000021
1950,0.000000,0.000022
1951,0.000000,0.000022
1952,0.000000,0.000013
1953,0.000000,0.000016
1954,0.000000,0.000017
1955,0.000000,0.000014
1956,0.000000,0.000011
1957,0.000000,0.000015
1958,0.000000,0.000008
1959,0.000000,0.000011
1960,0.000000,0.000006
1961,0.000000,0.000010
1962,0.000000,0.000005
1963,0.000000,0.000009
1964,0.000000,0.000008
1965,0.000000,0.000007
1966,0.000000,0.000007
1967,0.000000,0.000008
1968,0.000000,0.000009
1969,0.000000,0.000004
1970,0.000000,0.000006
1971,0.000000,0.000006
1972,0.000000,0.000005
1973,0.000000,0.000004
1974,0.000000,0.000004
1975,0.000000,0.000002
1976,0.000000,0.000004
1977,0.000000,0.000003
1978,0.000000,0.000004
1979,0.000000,0.000004
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000004
1983,0.000000,0.000000
1984,0.000000,0.000001
1985,0.000000,0.000001
1986,0.000000,0.000002
1987,0.000000,0.000000
1988,0.000000,0.000002
1989,0.000000,0.000002
1990,0.000000,0.000002
1991,0.000000,0.000002
1992,0.000000,0.000002
1993,0.000000,0.000003
1994,0.000000,0.000002
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000001
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
