year,Christie (F),Christie (M)
1880,0.000000,0.000000
1881,0.000026,0.000000
1882,0.000032,0.000000
1883,0.000028,0.000000
1884,0.000021,0.000000
1885,0.000037,0.000000
1886,0.000020,0.000000
1887,0.000036,0.000000
1888,0.000053,0.000000
1889,0.000021,0.000000
1890,0.000000,0.000000
1891,0.000024,0.000000
1892,0.000054,0.000000
1893,0.000049,0.000015
1894,0.000032,0.000000
1895,0.000037,0.000014
1896,0.000028,0.000000
1897,0.000049,0.000000
1898,0.000039,0.000000
1899,0.000050,0.000000
1900,0.000033,0.000000
1901,0.000035,0.000000
1902,0.000026,0.000000
1903,0.000013,0.000000
1904,0.000000,0.000000
1905,0.000012,0.000000
1906,0.000021,0.000000
1907,0.000017,0.000000
1908,0.000020,0.000000
1909,0.000010,0.000010
1910,0.000017,0.000000
1911,0.000019,0.000008
1912,0.000013,0.000005
1913,0.000006,0.000007
1914,0.000013,0.000007
1915,0.000010,0.000006
1916,0.000008,0.000004
1917,0.000012,0.000006
1918,0.000008,0.000008
1919,0.000007,0.000010
1920,0.000004,0.000008
1921,0.000006,0.000007
1922,0.000007,0.000007
1923,0.000009,0.000008
1924,0.000009,0.000009
1925,0.000009,0.000005
1926,0.000008,0.000007
1927,0.000004,0.000009
1928,0.000008,0.000008
1929,0.000007,0.000006
1930,0.000004,0.000004
1931,0.000007,0.000007
1932,0.000005,0.000006
1933,0.000007,0.000007
1934,0.000004,0.000004
1935,0.000005,0.000003
1936,0.000010,0.000004
1937,0.000006,0.000005
1938,0.000009,0.000003
1939,0.000011,0.000005
1940,0.000025,0.000003
1941,0.000030,0.000005
1942,0.000044,0.000005
1943,0.000035,0.000003
1944,0.000031,0.000003
1945,0.000036,0.000005
1946,0.000042,0.000003
1947,0.000062,0.000003
1948,0.000070,0.000004
1949,0.000094,0.000005
1950,0.000084,0.000005
1951,0.000091,0.000004
1952,0.000109,0.000003
1953,0.000105,0.000003
1954,0.000090,0.000003
1955,0.000120,0.000002
1956,0.000116,0.000004
1957,0.000126,0.000002
1958,0.000129,0.000004
1959,0.000116,0.000004
1960,0.000141,0.000002
1961,0.000128,0.000002
1962,0.000130,0.000002
1963,0.000140,0.000002
1964,0.000136,0.000001
1965,0.000129,0.000002
1966,0.000212,0.000003
1967,0.000251,0.000004
1968,0.000307,0.000004
1969,0.000346,0.000003
1970,0.000364,0.000004
1971,0.000403,0.000002
1972,0.000471,0.000004
1973,0.000501,0.000003
1974,0.000890,0.000004
1975,0.001002,0.000005
1976,0.000663,0.000004
1977,0.000553,0.000003
1978,0.000483,0.000002
1979,0.000439,0.000003
1980,0.000323,0.000003
1981,0.000298,0.000002
1982,0.000297,0.000000
1983,0.000317,0.000003
1984,0.000320,0.000003
1985,0.000304,0.000002
1986,0.000275,0.000003
1987,0.000224,0.000002
1988,0.000206,0.000002
1989,0.000171,0.000000
1990,0.000145,0.000000
1991,0.000116,0.000000
1992,0.000119,0.000000
1993,0.000099,0.000002
1994,0.000084,0.000000
1995,0.000070,0.000000
1996,0.000060,0.000000
1997,0.000061,0.000000
1998,0.000051,0.000000
1999,0.000041,0.000000
2000,0.000033,0.000000
2001,0.000030,0.000000
2002,0.000028,0.000000
2003,0.000028,0.000000
2004,0.000020,0.000000
2005,0.000021,0.000000
2006,0.000016,0.000000
2007,0.000016,0.000000
2008,0.000019,0.000000
2009,0.000014,0.000000
2010,0.000017,0.000000
2011,0.000014,0.000000
2012,0.000015,0.000000
2013,0.000010,0.000000
