year,Carroll (F),Carroll (M)
1880,0.000000,0.000129
1881,0.000000,0.000114
1882,0.000000,0.000144
1883,0.000000,0.000143
1884,0.000000,0.000099
1885,0.000000,0.000108
1886,0.000000,0.000098
1887,0.000000,0.000137
1888,0.000000,0.000124
1889,0.000000,0.000114
1890,0.000000,0.000136
1891,0.000000,0.000101
1892,0.000000,0.000144
1893,0.000000,0.000154
1894,0.000000,0.000136
1895,0.000000,0.000174
1896,0.000014,0.000140
1897,0.000020,0.000167
1898,0.000000,0.000134
1899,0.000015,0.000177
1900,0.000000,0.000153
1901,0.000000,0.000133
1902,0.000000,0.000134
1903,0.000000,0.000157
1904,0.000032,0.000173
1905,0.000000,0.000170
1906,0.000000,0.000145
1907,0.000013,0.000155
1908,0.000029,0.000158
1909,0.000029,0.000170
1910,0.000019,0.000151
1911,0.000022,0.000175
1912,0.000008,0.000259
1913,0.000026,0.000232
1914,0.000023,0.000270
1915,0.000018,0.000288
1916,0.000019,0.000280
1917,0.000026,0.000281
1918,0.000029,0.000240
1919,0.000029,0.000251
1920,0.000018,0.000268
1921,0.000021,0.000287
1922,0.000024,0.000257
1923,0.000028,0.000304
1924,0.000024,0.000281
1925,0.000024,0.000314
1926,0.000033,0.000321
1927,0.000029,0.000299
1928,0.000029,0.000289
1929,0.000033,0.000323
1930,0.000040,0.000340
1931,0.000038,0.000357
1932,0.000043,0.000387
1933,0.000052,0.000386
1934,0.000049,0.000421
1935,0.000057,0.000387
1936,0.000066,0.000380
1937,0.000068,0.000366
1938,0.000071,0.000374
1939,0.000060,0.000358
1940,0.000068,0.000327
1941,0.000067,0.000321
1942,0.000070,0.000288
1943,0.000074,0.000293
1944,0.000065,0.000262
1945,0.000061,0.000244
1946,0.000054,0.000213
1947,0.000044,0.000186
1948,0.000051,0.000175
1949,0.000042,0.000179
1950,0.000037,0.000158
1951,0.000032,0.000139
1952,0.000026,0.000127
1953,0.000025,0.000111
1954,0.000024,0.000108
1955,0.000020,0.000101
1956,0.000023,0.000095
1957,0.000021,0.000090
1958,0.000020,0.000069
1959,0.000016,0.000073
1960,0.000022,0.000066
1961,0.000015,0.000064
1962,0.000015,0.000058
1963,0.000014,0.000066
1964,0.000016,0.000052
1965,0.000014,0.000049
1966,0.000016,0.000053
1967,0.000013,0.000054
1968,0.000014,0.000051
1969,0.000013,0.000045
1970,0.000012,0.000041
1971,0.000009,0.000042
1972,0.000007,0.000043
1973,0.000011,0.000039
1974,0.000006,0.000032
1975,0.000005,0.000031
1976,0.000007,0.000028
1977,0.000007,0.000028
1978,0.000010,0.000020
1979,0.000007,0.000021
1980,0.000004,0.000023
1981,0.000004,0.000019
1982,0.000006,0.000019
1983,0.000003,0.000020
1984,0.000004,0.000013
1985,0.000008,0.000017
1986,0.000003,0.000014
1987,0.000004,0.000013
1988,0.000001,0.000013
1989,0.000002,0.000013
1990,0.000004,0.000012
1991,0.000002,0.000008
1992,0.000004,0.000009
1993,0.000002,0.000007
1994,0.000003,0.000006
1995,0.000002,0.000008
1996,0.000002,0.000005
1997,0.000002,0.000006
1998,0.000003,0.000004
1999,0.000000,0.000005
2000,0.000000,0.000003
2001,0.000000,0.000004
2002,0.000000,0.000003
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000001,0.000002
2006,0.000000,0.000004
2007,0.000001,0.000002
2008,0.000000,0.000002
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000004
