year,Crispin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,5
1917,7
1918,10
1919,12
1920,7
1921,16
1922,9
1923,7
1924,5
1925,5
1926,7
1927,11
1928,10
1929,10
1930,11
1931,15
1932,0
1933,9
1934,13
1935,11
1936,11
1937,0
1938,9
1939,5
1940,11
1941,14
1942,12
1943,10
1944,11
1945,15
1946,16
1947,11
1948,17
1949,10
1950,17
1951,19
1952,15
1953,16
1954,16
1955,21
1956,20
1957,19
1958,8
1959,7
1960,15
1961,17
1962,16
1963,12
1964,14
1965,16
1966,9
1967,23
1968,15
1969,21
1970,24
1971,31
1972,27
1973,23
1974,23
1975,27
1976,26
1977,29
1978,27
1979,23
1980,24
1981,23
1982,19
1983,25
1984,15
1985,18
1986,19
1987,14
1988,16
1989,24
1990,14
1991,19
1992,23
1993,14
1994,16
1995,20
1996,22
1997,26
1998,20
1999,29
2000,25
2001,12
2002,20
2003,18
2004,26
2005,31
2006,18
2007,39
2008,19
2009,24
2010,20
2011,21
2012,13
