year,Chase (F),Chase (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000008
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000005
1916,0.000000,0.000000
1917,0.000000,0.000004
1918,0.000000,0.000003
1919,0.000000,0.000003
1920,0.000000,0.000002
1921,0.000000,0.000003
1922,0.000000,0.000005
1923,0.000000,0.000003
1924,0.000000,0.000003
1925,0.000000,0.000003
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000003
1929,0.000000,0.000000
1930,0.000000,0.000002
1931,0.000000,0.000002
1932,0.000000,0.000002
1933,0.000000,0.000004
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000002
1937,0.000000,0.000000
1938,0.000000,0.000002
1939,0.000000,0.000005
1940,0.000000,0.000004
1941,0.000000,0.000000
1942,0.000000,0.000002
1943,0.000000,0.000004
1944,0.000000,0.000000
1945,0.000000,0.000002
1946,0.000000,0.000000
1947,0.000000,0.000002
1948,0.000000,0.000002
1949,0.000000,0.000003
1950,0.000000,0.000003
1951,0.000000,0.000002
1952,0.000000,0.000002
1953,0.000000,0.000000
1954,0.000000,0.000002
1955,0.000000,0.000002
1956,0.000000,0.000002
1957,0.000000,0.000003
1958,0.000000,0.000002
1959,0.000000,0.000003
1960,0.000000,0.000003
1961,0.000000,0.000004
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000005
1965,0.000000,0.000009
1966,0.000000,0.000005
1967,0.000000,0.000008
1968,0.000000,0.000010
1969,0.000000,0.000009
1970,0.000000,0.000015
1971,0.000002,0.000019
1972,0.000000,0.000029
1973,0.000002,0.000040
1974,0.000003,0.000042
1975,0.000004,0.000042
1976,0.000003,0.000044
1977,0.000003,0.000043
1978,0.000002,0.000046
1979,0.000002,0.000047
1980,0.000003,0.000051
1981,0.000004,0.000056
1982,0.000005,0.000267
1983,0.000006,0.000526
1984,0.000009,0.000599
1985,0.000010,0.000597
1986,0.000004,0.000553
1987,0.000006,0.000574
1988,0.000011,0.000625
1989,0.000010,0.000746
1990,0.000010,0.000799
1991,0.000010,0.000828
1992,0.000007,0.000786
1993,0.000010,0.000801
1994,0.000012,0.000868
1995,0.000028,0.001070
1996,0.000061,0.001369
1997,0.000063,0.001369
1998,0.000059,0.001512
1999,0.000037,0.001414
2000,0.000031,0.001440
2001,0.000038,0.001389
2002,0.000032,0.001300
2003,0.000041,0.001319
2004,0.000062,0.001351
2005,0.000041,0.001352
2006,0.000044,0.001453
2007,0.000037,0.001541
2008,0.000033,0.001782
2009,0.000026,0.001935
2010,0.000022,0.001744
2011,0.000019,0.001695
2012,0.000024,0.001558
2013,0.000021,0.001522
2014,0.000020,0.001447
2015,0.000017,0.001453
2016,0.000018,0.001326
2017,0.000014,0.001170
2018,0.000016,0.000981
2019,0.000014,0.000914
2020,0.000011,0.000896
