year,Carlita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,0
1916,0
1917,0
1918,5
1919,0
1920,7
1921,5
1922,5
1923,0
1924,0
1925,0
1926,5
1927,0
1928,8
1929,8
1930,8
1931,7
1932,0
1933,6
1934,0
1935,6
1936,10
1937,8
1938,7
1939,8
1940,10
1941,0
1942,11
1943,7
1944,11
1945,5
1946,10
1947,11
1948,9
1949,10
1950,0
1951,9
1952,12
1953,26
1954,6
1955,15
1956,22
1957,11
1958,19
1959,23
1960,15
1961,22
1962,19
1963,21
1964,24
1965,12
1966,18
1967,18
1968,19
1969,23
1970,33
1971,37
1972,39
1973,39
1974,30
1975,37
1976,32
1977,30
1978,25
1979,32
1980,23
1981,25
1982,25
1983,16
1984,16
1985,41
1986,17
1987,16
1988,14
1989,20
1990,24
1991,15
1992,13
1993,9
1994,17
1995,24
1996,10
1997,10
1998,11
1999,16
2000,10
2001,10
2002,10
2003,17
2004,12
2005,10
2006,17
2007,11
2008,6
2009,0
2010,7
2011,0
2012,0
