year,Conni
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,6
1941,5
1942,9
1943,9
1944,7
1945,7
1946,14
1947,15
1948,22
1949,17
1950,27
1951,28
1952,27
1953,29
1954,26
1955,24
1956,31
1957,30
1958,36
1959,42
1960,41
1961,41
1962,42
1963,45
1964,42
1965,32
1966,29
1967,31
1968,32
1969,22
1970,21
1971,16
1972,18
1973,11
1974,7
1975,8
1976,9
1977,14
1978,0
1979,11
1980,0
1981,11
1982,6
1983,5
1984,6
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
