year,Clarance (F),Clarance (M)
1880,0.000000,0.000040
1881,0.000000,0.000026
1882,0.000000,0.000090
1883,0.000000,0.000074
1884,0.000000,0.000078
1885,0.000000,0.000021
1886,0.000000,0.000027
1887,0.000000,0.000032
1888,0.000000,0.000040
1889,0.000000,0.000024
1890,0.000000,0.000027
1891,0.000000,0.000038
1892,0.000000,0.000042
1893,0.000000,0.000031
1894,0.000000,0.000027
1895,0.000000,0.000026
1896,0.000000,0.000050
1897,0.000000,0.000058
1898,0.000000,0.000039
1899,0.000000,0.000027
1900,0.000000,0.000067
1901,0.000000,0.000049
1902,0.000000,0.000026
1903,0.000000,0.000058
1904,0.000000,0.000055
1905,0.000000,0.000040
1906,0.000000,0.000037
1907,0.000000,0.000041
1908,0.000000,0.000047
1909,0.000000,0.000039
1910,0.000000,0.000034
1911,0.000000,0.000037
1912,0.000000,0.000037
1913,0.000000,0.000040
1914,0.000000,0.000038
1915,0.000000,0.000035
1916,0.000000,0.000048
1917,0.000000,0.000038
1918,0.000000,0.000040
1919,0.000000,0.000047
1920,0.000000,0.000034
1921,0.000000,0.000041
1922,0.000000,0.000044
1923,0.000000,0.000034
1924,0.000000,0.000039
1925,0.000000,0.000045
1926,0.000000,0.000048
1927,0.000000,0.000038
1928,0.000000,0.000042
1929,0.000000,0.000040
1930,0.000000,0.000047
1931,0.000000,0.000035
1932,0.000000,0.000034
1933,0.000000,0.000037
1934,0.000000,0.000044
1935,0.000000,0.000032
1936,0.000000,0.000030
1937,0.000000,0.000032
1938,0.000000,0.000034
1939,0.000000,0.000034
1940,0.000000,0.000028
1941,0.000000,0.000026
1942,0.000000,0.000017
1943,0.000000,0.000019
1944,0.000000,0.000020
1945,0.000000,0.000019
1946,0.000000,0.000018
1947,0.000000,0.000014
1948,0.000000,0.000014
1949,0.000000,0.000015
1950,0.000000,0.000015
1951,0.000000,0.000010
1952,0.000000,0.000013
1953,0.000000,0.000008
1954,0.000000,0.000009
1955,0.000000,0.000007
1956,0.000000,0.000009
1957,0.000000,0.000008
1958,0.000000,0.000009
1959,0.000000,0.000007
1960,0.000000,0.000009
1961,0.000000,0.000007
1962,0.000000,0.000007
1963,0.000000,0.000007
1964,0.000000,0.000004
1965,0.000000,0.000005
1966,0.000000,0.000007
1967,0.000000,0.000004
1968,0.000000,0.000004
1969,0.000000,0.000005
1970,0.000000,0.000005
1971,0.000000,0.000005
1972,0.000000,0.000004
1973,0.000000,0.000003
1974,0.000000,0.000002
1975,0.000000,0.000003
1976,0.000000,0.000005
1977,0.000000,0.000003
1978,0.000000,0.000002
1979,0.000000,0.000003
1980,0.000000,0.000003
1981,0.000000,0.000002
1982,0.000000,0.000002
1983,0.000000,0.000003
1984,0.000000,0.000002
1985,0.000000,0.000002
1986,0.000000,0.000003
1987,0.000000,0.000002
1988,0.000000,0.000002
1989,0.000000,0.000000
1990,0.000000,0.000000
1991,0.000000,0.000001
1992,0.000000,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000001
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000002
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000001
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000002
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
