year,Charlean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,7
1915,7
1916,0
1917,11
1918,5
1919,11
1920,13
1921,18
1922,13
1923,10
1924,11
1925,12
1926,14
1927,13
1928,27
1929,14
1930,36
1931,12
1932,14
1933,22
1934,22
1935,23
1936,24
1937,23
1938,26
1939,22
1940,15
1941,20
1942,34
1943,33
1944,15
1945,30
1946,24
1947,30
1948,28
1949,30
1950,40
1951,37
1952,43
1953,26
1954,34
1955,26
1956,27
1957,30
1958,23
1959,23
1960,21
1961,19
1962,18
1963,27
1964,19
1965,16
1966,11
1967,12
1968,10
1969,16
1970,13
1971,7
1972,12
1973,7
1974,18
1975,5
1976,11
1977,5
1978,8
1979,5
1980,9
1981,8
1982,0
1983,7
1984,0
1985,0
1986,5
1987,9
1988,0
1989,0
1990,7
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
