year,Coretha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,5
1916,5
1917,11
1918,9
1919,6
1920,13
1921,5
1922,9
1923,12
1924,12
1925,19
1926,10
1927,10
1928,13
1929,10
1930,8
1931,13
1932,9
1933,7
1934,7
1935,8
1936,9
1937,5
1938,10
1939,0
1940,10
1941,8
1942,5
1943,7
1944,6
1945,8
1946,0
1947,10
1948,11
1949,8
1950,9
1951,10
1952,9
1953,6
1954,12
1955,10
1956,11
1957,7
1958,11
1959,8
1960,8
1961,6
1962,9
1963,8
1964,8
1965,7
1966,7
1967,8
1968,5
1969,6
1970,7
1971,10
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,7
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
