year,Carlito
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,5
1965,7
1966,8
1967,7
1968,0
1969,0
1970,0
1971,7
1972,0
1973,8
1974,5
1975,6
1976,6
1977,0
1978,6
1979,9
1980,8
1981,5
1982,0
1983,7
1984,5
1985,10
1986,0
1987,7
1988,0
1989,0
1990,6
1991,6
1992,7
1993,12
1994,28
1995,35
1996,33
1997,39
1998,25
1999,26
2000,36
2001,21
2002,30
2003,24
2004,25
2005,51
2006,92
2007,76
2008,64
2009,55
2010,50
2011,46
2012,43
