year,Celestino (F),Celestino (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000007
1913,0.000000,0.000007
1914,0.000000,0.000008
1915,0.000000,0.000011
1916,0.000000,0.000009
1917,0.000000,0.000007
1918,0.000000,0.000011
1919,0.000000,0.000015
1920,0.000000,0.000013
1921,0.000000,0.000016
1922,0.000000,0.000020
1923,0.000000,0.000010
1924,0.000000,0.000016
1925,0.000000,0.000014
1926,0.000000,0.000012
1927,0.000000,0.000012
1928,0.000000,0.000016
1929,0.000000,0.000011
1930,0.000000,0.000013
1931,0.000000,0.000010
1932,0.000000,0.000009
1933,0.000000,0.000015
1934,0.000000,0.000009
1935,0.000000,0.000010
1936,0.000000,0.000013
1937,0.000000,0.000010
1938,0.000000,0.000009
1939,0.000000,0.000008
1940,0.000000,0.000008
1941,0.000000,0.000010
1942,0.000000,0.000007
1943,0.000000,0.000011
1944,0.000000,0.000011
1945,0.000000,0.000011
1946,0.000000,0.000008
1947,0.000000,0.000007
1948,0.000000,0.000006
1949,0.000000,0.000007
1950,0.000000,0.000008
1951,0.000000,0.000004
1952,0.000000,0.000004
1953,0.000000,0.000006
1954,0.000000,0.000006
1955,0.000000,0.000005
1956,0.000000,0.000006
1957,0.000000,0.000005
1958,0.000000,0.000004
1959,0.000000,0.000007
1960,0.000000,0.000008
1961,0.000000,0.000006
1962,0.000000,0.000005
1963,0.000000,0.000006
1964,0.000000,0.000006
1965,0.000000,0.000007
1966,0.000000,0.000007
1967,0.000000,0.000007
1968,0.000000,0.000006
1969,0.000000,0.000007
1970,0.000000,0.000006
1971,0.000000,0.000006
1972,0.000000,0.000008
1973,0.000000,0.000006
1974,0.000000,0.000008
1975,0.000000,0.000010
1976,0.000000,0.000006
1977,0.000000,0.000011
1978,0.000000,0.000007
1979,0.000000,0.000010
1980,0.000000,0.000005
1981,0.000000,0.000006
1982,0.000000,0.000007
1983,0.000000,0.000008
1984,0.000000,0.000006
1985,0.000000,0.000005
1986,0.000000,0.000008
1987,0.000000,0.000007
1988,0.000000,0.000007
1989,0.000000,0.000004
1990,0.000000,0.000007
1991,0.000000,0.000007
1992,0.000000,0.000006
1993,0.000000,0.000008
1994,0.000000,0.000008
1995,0.000000,0.000008
1996,0.000000,0.000006
1997,0.000000,0.000010
1998,0.000000,0.000006
1999,0.000000,0.000008
2000,0.000000,0.000007
2001,0.000000,0.000009
2002,0.000000,0.000005
2003,0.000000,0.000008
2004,0.000000,0.000003
2005,0.000000,0.000004
2006,0.000000,0.000004
2007,0.000000,0.000005
2008,0.000000,0.000005
2009,0.000000,0.000004
2010,0.000000,0.000004
2011,0.000000,0.000005
2012,0.000000,0.000005
