year,Clint (F),Clint (M)
1880,0.000000,0.000134
1881,0.000000,0.000093
1882,0.000000,0.000068
1883,0.000000,0.000078
1884,0.000000,0.000074
1885,0.000000,0.000079
1886,0.000000,0.000059
1887,0.000000,0.000053
1888,0.000000,0.000043
1889,0.000000,0.000066
1890,0.000000,0.000070
1891,0.000000,0.000049
1892,0.000000,0.000039
1893,0.000000,0.000040
1894,0.000000,0.000030
1895,0.000000,0.000043
1896,0.000000,0.000073
1897,0.000000,0.000026
1898,0.000000,0.000034
1899,0.000000,0.000032
1900,0.000000,0.000049
1901,0.000000,0.000029
1902,0.000000,0.000047
1903,0.000000,0.000045
1904,0.000000,0.000030
1905,0.000000,0.000045
1906,0.000000,0.000040
1907,0.000000,0.000045
1908,0.000000,0.000053
1909,0.000000,0.000039
1910,0.000000,0.000041
1911,0.000000,0.000025
1912,0.000000,0.000038
1913,0.000000,0.000032
1914,0.000000,0.000034
1915,0.000000,0.000029
1916,0.000000,0.000029
1917,0.000000,0.000024
1918,0.000000,0.000028
1919,0.000000,0.000023
1920,0.000000,0.000030
1921,0.000000,0.000022
1922,0.000000,0.000023
1923,0.000000,0.000021
1924,0.000000,0.000025
1925,0.000000,0.000024
1926,0.000000,0.000025
1927,0.000000,0.000019
1928,0.000000,0.000019
1929,0.000000,0.000023
1930,0.000000,0.000027
1931,0.000000,0.000019
1932,0.000000,0.000020
1933,0.000000,0.000026
1934,0.000000,0.000018
1935,0.000000,0.000023
1936,0.000000,0.000020
1937,0.000000,0.000023
1938,0.000000,0.000017
1939,0.000000,0.000019
1940,0.000000,0.000025
1941,0.000000,0.000021
1942,0.000000,0.000024
1943,0.000000,0.000017
1944,0.000000,0.000021
1945,0.000000,0.000017
1946,0.000000,0.000024
1947,0.000000,0.000027
1948,0.000000,0.000022
1949,0.000000,0.000026
1950,0.000000,0.000017
1951,0.000000,0.000021
1952,0.000000,0.000022
1953,0.000000,0.000028
1954,0.000000,0.000020
1955,0.000000,0.000029
1956,0.000000,0.000062
1957,0.000000,0.000095
1958,0.000000,0.000115
1959,0.000000,0.000116
1960,0.000000,0.000113
1961,0.000000,0.000107
1962,0.000000,0.000092
1963,0.000000,0.000103
1964,0.000000,0.000123
1965,0.000000,0.000111
1966,0.000000,0.000092
1967,0.000000,0.000124
1968,0.000000,0.000155
1969,0.000000,0.000194
1970,0.000001,0.000223
1971,0.000001,0.000198
1972,0.000000,0.000289
1973,0.000000,0.000297
1974,0.000000,0.000310
1975,0.000002,0.000280
1976,0.000000,0.000286
1977,0.000002,0.000329
1978,0.000002,0.000324
1979,0.000000,0.000323
1980,0.000003,0.000370
1981,0.000002,0.000331
1982,0.000000,0.000265
1983,0.000001,0.000234
1984,0.000000,0.000204
1985,0.000002,0.000175
1986,0.000000,0.000156
1987,0.000000,0.000150
1988,0.000000,0.000132
1989,0.000000,0.000107
1990,0.000000,0.000156
1991,0.000000,0.000167
1992,0.000000,0.000151
1993,0.000000,0.000131
1994,0.000000,0.000114
1995,0.000000,0.000090
1996,0.000000,0.000079
1997,0.000000,0.000065
1998,0.000000,0.000055
1999,0.000000,0.000047
2000,0.000000,0.000044
2001,0.000000,0.000040
2002,0.000000,0.000038
2003,0.000000,0.000037
2004,0.000000,0.000029
2005,0.000000,0.000029
2006,0.000000,0.000027
2007,0.000000,0.000030
2008,0.000000,0.000025
2009,0.000000,0.000029
2010,0.000000,0.000035
2011,0.000000,0.000027
2012,0.000000,0.000030
2013,0.000000,0.000034
2014,0.000000,0.000026
2015,0.000000,0.000031
2016,0.000000,0.000034
2017,0.000000,0.000038
2018,0.000000,0.000034
2019,0.000000,0.000033
2020,0.000000,0.000040
