year,Clora
1880,0
1881,0
1882,6
1883,11
1884,13
1885,18
1886,16
1887,7
1888,16
1889,16
1890,15
1891,12
1892,18
1893,18
1894,13
1895,22
1896,19
1897,15
1898,19
1899,15
1900,21
1901,18
1902,13
1903,22
1904,17
1905,18
1906,18
1907,14
1908,19
1909,26
1910,16
1911,32
1912,26
1913,28
1914,39
1915,40
1916,40
1917,32
1918,37
1919,44
1920,44
1921,44
1922,47
1923,45
1924,49
1925,44
1926,34
1927,32
1928,31
1929,31
1930,28
1931,19
1932,33
1933,24
1934,27
1935,26
1936,21
1937,31
1938,22
1939,24
1940,22
1941,24
1942,20
1943,23
1944,17
1945,12
1946,21
1947,20
1948,13
1949,16
1950,11
1951,18
1952,20
1953,17
1954,18
1955,13
1956,21
1957,0
1958,10
1959,7
1960,6
1961,0
1962,0
1963,10
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,5
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
