year,Clenton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,0
1910,0
1911,0
1912,6
1913,8
1914,7
1915,6
1916,14
1917,11
1918,13
1919,10
1920,20
1921,18
1922,19
1923,11
1924,20
1925,16
1926,19
1927,18
1928,20
1929,16
1930,16
1931,22
1932,14
1933,21
1934,13
1935,13
1936,14
1937,17
1938,16
1939,10
1940,13
1941,12
1942,11
1943,15
1944,7
1945,9
1946,7
1947,10
1948,11
1949,10
1950,7
1951,12
1952,16
1953,5
1954,17
1955,10
1956,11
1957,6
1958,12
1959,5
1960,9
1961,6
1962,7
1963,0
1964,11
1965,0
1966,0
1967,0
1968,7
1969,0
1970,8
1971,9
1972,6
1973,5
1974,6
1975,6
1976,0
1977,6
1978,0
1979,0
1980,6
1981,5
1982,7
1983,0
1984,0
1985,7
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
