year,Cleveland (F),Cleveland (M)
1880,0.000000,0.000055
1881,0.000000,0.000062
1882,0.000000,0.000158
1883,0.000000,0.000161
1884,0.000000,0.000715
1885,0.000000,0.000610
1886,0.000000,0.000341
1887,0.000000,0.000218
1888,0.000000,0.000291
1889,0.000000,0.000208
1890,0.000000,0.000186
1891,0.000000,0.000174
1892,0.000000,0.000245
1893,0.000000,0.000203
1894,0.000000,0.000148
1895,0.000000,0.000145
1896,0.000000,0.000157
1897,0.000000,0.000112
1898,0.000000,0.000092
1899,0.000000,0.000115
1900,0.000000,0.000160
1901,0.000000,0.000087
1902,0.000000,0.000134
1903,0.000000,0.000110
1904,0.000000,0.000104
1905,0.000000,0.000127
1906,0.000000,0.000124
1907,0.000000,0.000142
1908,0.000000,0.000121
1909,0.000000,0.000162
1910,0.000000,0.000183
1911,0.000000,0.000171
1912,0.000000,0.000158
1913,0.000000,0.000152
1914,0.000000,0.000151
1915,0.000000,0.000133
1916,0.000000,0.000130
1917,0.000000,0.000143
1918,0.000000,0.000148
1919,0.000000,0.000168
1920,0.000000,0.000157
1921,0.000000,0.000145
1922,0.000002,0.000151
1923,0.000002,0.000146
1924,0.000000,0.000142
1925,0.000000,0.000127
1926,0.000002,0.000142
1927,0.000002,0.000140
1928,0.000000,0.000122
1929,0.000000,0.000111
1930,0.000000,0.000129
1931,0.000000,0.000116
1932,0.000000,0.000126
1933,0.000000,0.000123
1934,0.000003,0.000102
1935,0.000003,0.000124
1936,0.000000,0.000107
1937,0.000000,0.000115
1938,0.000000,0.000109
1939,0.000003,0.000118
1940,0.000000,0.000115
1941,0.000003,0.000101
1942,0.000000,0.000100
1943,0.000000,0.000102
1944,0.000000,0.000110
1945,0.000000,0.000107
1946,0.000000,0.000096
1947,0.000002,0.000100
1948,0.000000,0.000094
1949,0.000000,0.000093
1950,0.000000,0.000094
1951,0.000000,0.000086
1952,0.000001,0.000086
1953,0.000000,0.000085
1954,0.000000,0.000081
1955,0.000000,0.000082
1956,0.000000,0.000079
1957,0.000000,0.000069
1958,0.000000,0.000063
1959,0.000001,0.000058
1960,0.000000,0.000059
1961,0.000000,0.000061
1962,0.000000,0.000049
1963,0.000002,0.000051
1964,0.000002,0.000056
1965,0.000000,0.000060
1966,0.000001,0.000054
1967,0.000000,0.000058
1968,0.000000,0.000048
1969,0.000000,0.000052
1970,0.000000,0.000055
1971,0.000000,0.000055
1972,0.000000,0.000046
1973,0.000000,0.000056
1974,0.000000,0.000048
1975,0.000000,0.000050
1976,0.000000,0.000041
1977,0.000000,0.000042
1978,0.000002,0.000037
1979,0.000000,0.000038
1980,0.000000,0.000040
1981,0.000000,0.000034
1982,0.000000,0.000037
1983,0.000000,0.000037
1984,0.000000,0.000033
1985,0.000000,0.000026
1986,0.000000,0.000027
1987,0.000000,0.000025
1988,0.000000,0.000025
1989,0.000000,0.000029
1990,0.000000,0.000024
1991,0.000000,0.000025
1992,0.000000,0.000020
1993,0.000000,0.000023
1994,0.000000,0.000020
1995,0.000000,0.000019
1996,0.000000,0.000018
1997,0.000000,0.000017
1998,0.000000,0.000016
1999,0.000000,0.000016
2000,0.000000,0.000013
2001,0.000000,0.000016
2002,0.000000,0.000018
2003,0.000000,0.000014
2004,0.000000,0.000010
2005,0.000000,0.000012
2006,0.000000,0.000010
2007,0.000000,0.000011
2008,0.000000,0.000009
2009,0.000000,0.000010
2010,0.000000,0.000010
2011,0.000000,0.000012
2012,0.000000,0.000009
