year,Clarabelle
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,6
1897,0
1898,9
1899,6
1900,0
1901,9
1902,10
1903,0
1904,8
1905,5
1906,9
1907,12
1908,14
1909,16
1910,22
1911,18
1912,25
1913,21
1914,27
1915,47
1916,48
1917,51
1918,49
1919,76
1920,66
1921,65
1922,55
1923,64
1924,46
1925,48
1926,55
1927,60
1928,54
1929,60
1930,57
1931,51
1932,47
1933,37
1934,26
1935,22
1936,19
1937,21
1938,13
1939,14
1940,11
1941,8
1942,12
1943,0
1944,0
1945,6
1946,0
1947,6
1948,0
1949,8
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,8
2002,0
2003,6
2004,0
2005,9
2006,10
2007,10
2008,10
2009,16
2010,21
2011,19
2012,16
