year,Carleton (F),Carleton (M)
1880,0.000000,0.000040
1881,0.000000,0.000000
1882,0.000000,0.000036
1883,0.000000,0.000023
1884,0.000000,0.000025
1885,0.000000,0.000037
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000023
1891,0.000000,0.000049
1892,0.000000,0.000033
1893,0.000000,0.000025
1894,0.000000,0.000024
1895,0.000000,0.000028
1896,0.000000,0.000017
1897,0.000000,0.000032
1898,0.000000,0.000021
1899,0.000000,0.000018
1900,0.000000,0.000027
1901,0.000000,0.000023
1902,0.000000,0.000016
1903,0.000000,0.000021
1904,0.000000,0.000030
1905,0.000000,0.000033
1906,0.000000,0.000019
1907,0.000000,0.000015
1908,0.000000,0.000029
1909,0.000000,0.000025
1910,0.000000,0.000022
1911,0.000000,0.000034
1912,0.000000,0.000038
1913,0.000000,0.000036
1914,0.000000,0.000036
1915,0.000000,0.000051
1916,0.000000,0.000045
1917,0.000000,0.000033
1918,0.000000,0.000042
1919,0.000000,0.000038
1920,0.000000,0.000033
1921,0.000000,0.000035
1922,0.000000,0.000040
1923,0.000000,0.000045
1924,0.000000,0.000042
1925,0.000000,0.000034
1926,0.000000,0.000033
1927,0.000000,0.000030
1928,0.000000,0.000037
1929,0.000000,0.000032
1930,0.000000,0.000029
1931,0.000000,0.000031
1932,0.000000,0.000033
1933,0.000000,0.000028
1934,0.000000,0.000028
1935,0.000000,0.000032
1936,0.000000,0.000030
1937,0.000000,0.000031
1938,0.000000,0.000025
1939,0.000000,0.000026
1940,0.000000,0.000026
1941,0.000000,0.000025
1942,0.000000,0.000028
1943,0.000000,0.000021
1944,0.000000,0.000026
1945,0.000000,0.000021
1946,0.000000,0.000015
1947,0.000000,0.000016
1948,0.000000,0.000014
1949,0.000000,0.000017
1950,0.000000,0.000019
1951,0.000000,0.000016
1952,0.000000,0.000018
1953,0.000000,0.000016
1954,0.000000,0.000015
1955,0.000000,0.000018
1956,0.000000,0.000018
1957,0.000000,0.000015
1958,0.000000,0.000016
1959,0.000000,0.000012
1960,0.000000,0.000012
1961,0.000000,0.000013
1962,0.000000,0.000009
1963,0.000000,0.000012
1964,0.000000,0.000014
1965,0.000000,0.000012
1966,0.000000,0.000010
1967,0.000000,0.000013
1968,0.000000,0.000010
1969,0.000000,0.000010
1970,0.000000,0.000012
1971,0.000000,0.000008
1972,0.000000,0.000006
1973,0.000000,0.000012
1974,0.000000,0.000011
1975,0.000000,0.000010
1976,0.000000,0.000011
1977,0.000000,0.000013
1978,0.000000,0.000013
1979,0.000000,0.000009
1980,0.000000,0.000008
1981,0.000000,0.000009
1982,0.000000,0.000007
1983,0.000000,0.000007
1984,0.000000,0.000011
1985,0.000000,0.000007
1986,0.000000,0.000008
1987,0.000000,0.000006
1988,0.000000,0.000006
1989,0.000000,0.000005
1990,0.000000,0.000007
1991,0.000000,0.000005
1992,0.000000,0.000007
1993,0.000000,0.000005
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000004
1998,0.000000,0.000005
1999,0.000000,0.000004
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000004
2003,0.000000,0.000003
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000004
2007,0.000000,0.000000
2008,0.000000,0.000002
2009,0.000000,0.000003
2010,0.000000,0.000000
2011,0.000000,0.000001
2012,0.000000,0.000000
