year,Campbell
1880,0
1881,5
1882,7
1883,0
1884,0
1885,8
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,0
1901,0
1902,0
1903,6
1904,0
1905,6
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,16
1913,9
1914,20
1915,20
1916,19
1917,25
1918,21
1919,22
1920,18
1921,25
1922,16
1923,17
1924,20
1925,17
1926,28
1927,19
1928,9
1929,21
1930,15
1931,9
1932,10
1933,9
1934,11
1935,9
1936,8
1937,9
1938,15
1939,0
1940,6
1941,14
1942,19
1943,15
1944,11
1945,16
1946,10
1947,8
1948,14
1949,18
1950,16
1951,10
1952,10
1953,11
1954,12
1955,10
1956,10
1957,13
1958,9
1959,5
1960,12
1961,13
1962,7
1963,9
1964,10
1965,12
1966,8
1967,6
1968,7
1969,9
1970,7
1971,7
1972,7
1973,12
1974,5
1975,7
1976,11
1977,8
1978,16
1979,11
1980,9
1981,13
1982,5
1983,9
1984,12
1985,10
1986,6
1987,12
1988,14
1989,18
1990,20
1991,35
1992,80
1993,81
1994,86
1995,72
1996,104
1997,96
1998,140
1999,176
2000,176
2001,277
2002,340
2003,424
2004,482
2005,575
2006,612
2007,540
2008,552
2009,543
2010,547
2011,424
2012,452
