year,Clem (F),Clem (M)
1880,0.000000,0.000109
1881,0.000000,0.000093
1882,0.000000,0.000153
1883,0.000000,0.000143
1884,0.000000,0.000131
1885,0.000000,0.000141
1886,0.000000,0.000098
1887,0.000000,0.000129
1888,0.000000,0.000097
1889,0.000017,0.000142
1890,0.000020,0.000083
1891,0.000000,0.000077
1892,0.000000,0.000117
1893,0.000000,0.000086
1894,0.000000,0.000071
1895,0.000014,0.000080
1896,0.000014,0.000076
1897,0.000000,0.000081
1898,0.000000,0.000063
1899,0.000000,0.000065
1900,0.000000,0.000062
1901,0.000000,0.000049
1902,0.000000,0.000065
1903,0.000000,0.000047
1904,0.000000,0.000042
1905,0.000012,0.000064
1906,0.000000,0.000028
1907,0.000000,0.000054
1908,0.000000,0.000049
1909,0.000000,0.000055
1910,0.000000,0.000039
1911,0.000008,0.000036
1912,0.000000,0.000067
1913,0.000000,0.000045
1914,0.000000,0.000059
1915,0.000003,0.000050
1916,0.000000,0.000048
1917,0.000003,0.000051
1918,0.000000,0.000043
1919,0.000000,0.000044
1920,0.000000,0.000044
1921,0.000000,0.000030
1922,0.000002,0.000043
1923,0.000000,0.000034
1924,0.000000,0.000041
1925,0.000000,0.000038
1926,0.000003,0.000034
1927,0.000000,0.000040
1928,0.000000,0.000031
1929,0.000000,0.000032
1930,0.000000,0.000031
1931,0.000000,0.000023
1932,0.000000,0.000028
1933,0.000000,0.000033
1934,0.000000,0.000032
1935,0.000000,0.000023
1936,0.000000,0.000024
1937,0.000000,0.000023
1938,0.000000,0.000022
1939,0.000000,0.000020
1940,0.000000,0.000019
1941,0.000000,0.000019
1942,0.000000,0.000017
1943,0.000000,0.000017
1944,0.000000,0.000020
1945,0.000000,0.000016
1946,0.000000,0.000020
1947,0.000000,0.000015
1948,0.000000,0.000013
1949,0.000000,0.000014
1950,0.000000,0.000011
1951,0.000000,0.000010
1952,0.000000,0.000007
1953,0.000000,0.000012
1954,0.000000,0.000009
1955,0.000000,0.000007
1956,0.000000,0.000009
1957,0.000000,0.000011
1958,0.000000,0.000008
1959,0.000000,0.000007
1960,0.000000,0.000010
1961,0.000000,0.000007
1962,0.000000,0.000004
1963,0.000000,0.000006
1964,0.000000,0.000009
1965,0.000000,0.000006
1966,0.000000,0.000005
1967,0.000000,0.000006
1968,0.000000,0.000004
1969,0.000000,0.000007
1970,0.000000,0.000004
1971,0.000000,0.000004
1972,0.000000,0.000004
1973,0.000000,0.000002
1974,0.000000,0.000004
1975,0.000000,0.000004
1976,0.000000,0.000003
1977,0.000000,0.000003
1978,0.000000,0.000003
1979,0.000000,0.000003
1980,0.000000,0.000002
1981,0.000000,0.000004
1982,0.000000,0.000003
1983,0.000000,0.000003
1984,0.000000,0.000003
1985,0.000000,0.000003
1986,0.000000,0.000000
1987,0.000000,0.000002
1988,0.000000,0.000002
1989,0.000000,0.000002
1990,0.000000,0.000002
1991,0.000000,0.000002
1992,0.000000,0.000001
1993,0.000000,0.000001
1994,0.000000,0.000002
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000001
2001,0.000000,0.000002
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000002
2007,0.000000,0.000000
2008,0.000000,0.000002
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000002
