year,Cecelia (F),Cecelia (M)
1880,0.000233,0.000000
1881,0.000265,0.000000
1882,0.000248,0.000000
1883,0.000309,0.000000
1884,0.000448,0.000000
1885,0.000349,0.000000
1886,0.000376,0.000000
1887,0.000372,0.000000
1888,0.000377,0.000000
1889,0.000478,0.000000
1890,0.000431,0.000000
1891,0.000453,0.000000
1892,0.000523,0.000000
1893,0.000560,0.000000
1894,0.000469,0.000000
1895,0.000464,0.000000
1896,0.000531,0.000000
1897,0.000611,0.000000
1898,0.000600,0.000000
1899,0.000631,0.000000
1900,0.000586,0.000000
1901,0.000720,0.000000
1902,0.000628,0.000000
1903,0.000635,0.000000
1904,0.000674,0.000000
1905,0.000691,0.000000
1906,0.000677,0.000000
1907,0.000690,0.000000
1908,0.000665,0.000000
1909,0.000575,0.000000
1910,0.000567,0.000000
1911,0.000646,0.000000
1912,0.000519,0.000000
1913,0.000471,0.000000
1914,0.000479,0.000000
1915,0.000448,0.000000
1916,0.000456,0.000000
1917,0.000458,0.000000
1918,0.000431,0.000000
1919,0.000411,0.000000
1920,0.000393,0.000000
1921,0.000353,0.000000
1922,0.000332,0.000000
1923,0.000341,0.000000
1924,0.000312,0.000000
1925,0.000309,0.000000
1926,0.000298,0.000000
1927,0.000268,0.000000
1928,0.000256,0.000000
1929,0.000255,0.000000
1930,0.000237,0.000000
1931,0.000215,0.000000
1932,0.000206,0.000003
1933,0.000202,0.000000
1934,0.000180,0.000000
1935,0.000196,0.000000
1936,0.000227,0.000000
1937,0.000222,0.000000
1938,0.000232,0.000000
1939,0.000242,0.000000
1940,0.000246,0.000000
1941,0.000250,0.000000
1942,0.000306,0.000000
1943,0.000277,0.000002
1944,0.000240,0.000000
1945,0.000237,0.000000
1946,0.000223,0.000000
1947,0.000247,0.000000
1948,0.000245,0.000000
1949,0.000244,0.000000
1950,0.000219,0.000000
1951,0.000207,0.000000
1952,0.000188,0.000000
1953,0.000179,0.000000
1954,0.000171,0.000000
1955,0.000163,0.000000
1956,0.000162,0.000000
1957,0.000163,0.000000
1958,0.000148,0.000000
1959,0.000161,0.000000
1960,0.000135,0.000000
1961,0.000136,0.000000
1962,0.000130,0.000000
1963,0.000119,0.000000
1964,0.000096,0.000000
1965,0.000091,0.000000
1966,0.000082,0.000000
1967,0.000080,0.000000
1968,0.000080,0.000000
1969,0.000060,0.000000
1970,0.000086,0.000000
1971,0.000073,0.000000
1972,0.000067,0.000000
1973,0.000064,0.000000
1974,0.000054,0.000000
1975,0.000055,0.000000
1976,0.000044,0.000000
1977,0.000041,0.000000
1978,0.000040,0.000000
1979,0.000045,0.000000
1980,0.000047,0.000000
1981,0.000044,0.000000
1982,0.000048,0.000000
1983,0.000054,0.000000
1984,0.000051,0.000000
1985,0.000050,0.000000
1986,0.000049,0.000000
1987,0.000059,0.000000
1988,0.000058,0.000000
1989,0.000052,0.000000
1990,0.000058,0.000000
1991,0.000054,0.000000
1992,0.000054,0.000000
1993,0.000065,0.000000
1994,0.000062,0.000000
1995,0.000068,0.000000
1996,0.000078,0.000000
1997,0.000064,0.000000
1998,0.000072,0.000000
1999,0.000079,0.000000
2000,0.000078,0.000000
2001,0.000084,0.000000
2002,0.000088,0.000000
2003,0.000090,0.000000
2004,0.000101,0.000000
2005,0.000109,0.000000
2006,0.000107,0.000000
2007,0.000092,0.000000
2008,0.000099,0.000000
2009,0.000103,0.000000
2010,0.000102,0.000000
2011,0.000118,0.000000
2012,0.000132,0.000000
2013,0.000147,0.000000
2014,0.000145,0.000000
2015,0.000155,0.000000
2016,0.000158,0.000000
2017,0.000163,0.000000
2018,0.000146,0.000000
2019,0.000161,0.000000
2020,0.000152,0.000000
