year,Celestina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,9
1895,0
1896,0
1897,0
1898,0
1899,6
1900,7
1901,9
1902,0
1903,0
1904,5
1905,0
1906,6
1907,5
1908,11
1909,6
1910,0
1911,6
1912,10
1913,7
1914,12
1915,18
1916,17
1917,20
1918,22
1919,17
1920,32
1921,28
1922,42
1923,23
1924,27
1925,28
1926,31
1927,25
1928,17
1929,20
1930,22
1931,22
1932,24
1933,11
1934,18
1935,14
1936,16
1937,14
1938,8
1939,18
1940,12
1941,14
1942,12
1943,12
1944,13
1945,7
1946,13
1947,11
1948,9
1949,6
1950,15
1951,17
1952,14
1953,12
1954,13
1955,10
1956,17
1957,14
1958,13
1959,8
1960,12
1961,23
1962,12
1963,9
1964,16
1965,9
1966,23
1967,20
1968,18
1969,21
1970,24
1971,23
1972,27
1973,29
1974,31
1975,27
1976,32
1977,35
1978,25
1979,33
1980,29
1981,36
1982,29
1983,22
1984,31
1985,29
1986,20
1987,26
1988,29
1989,25
1990,29
1991,22
1992,26
1993,32
1994,31
1995,30
1996,28
1997,36
1998,52
1999,39
2000,36
2001,28
2002,30
2003,29
2004,32
2005,24
2006,27
2007,27
2008,14
2009,20
2010,15
2011,19
2012,8
