year,Consuela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,5
1916,7
1917,5
1918,8
1919,14
1920,11
1921,12
1922,15
1923,18
1924,14
1925,8
1926,25
1927,23
1928,18
1929,12
1930,15
1931,9
1932,9
1933,9
1934,5
1935,13
1936,13
1937,0
1938,7
1939,7
1940,0
1941,0
1942,10
1943,7
1944,14
1945,7
1946,11
1947,9
1948,17
1949,16
1950,12
1951,5
1952,9
1953,9
1954,10
1955,12
1956,12
1957,9
1958,13
1959,6
1960,9
1961,22
1962,9
1963,18
1964,17
1965,11
1966,18
1967,14
1968,16
1969,23
1970,54
1971,133
1972,144
1973,107
1974,91
1975,86
1976,75
1977,57
1978,37
1979,37
1980,44
1981,46
1982,35
1983,33
1984,31
1985,23
1986,23
1987,26
1988,29
1989,34
1990,29
1991,25
1992,19
1993,19
1994,9
1995,15
1996,7
1997,9
1998,14
1999,8
2000,0
2001,7
2002,13
2003,0
2004,11
2005,6
2006,6
2007,6
2008,0
2009,0
2010,5
2011,6
2012,0
