year,Candelario
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,6
1911,0
1912,0
1913,7
1914,6
1915,7
1916,9
1917,10
1918,20
1919,18
1920,31
1921,28
1922,18
1923,14
1924,25
1925,21
1926,31
1927,31
1928,31
1929,38
1930,25
1931,29
1932,29
1933,23
1934,21
1935,19
1936,15
1937,18
1938,28
1939,23
1940,25
1941,21
1942,17
1943,28
1944,28
1945,34
1946,18
1947,33
1948,22
1949,34
1950,24
1951,29
1952,29
1953,21
1954,36
1955,26
1956,31
1957,20
1958,20
1959,30
1960,9
1961,23
1962,22
1963,19
1964,14
1965,18
1966,16
1967,19
1968,25
1969,23
1970,32
1971,24
1972,32
1973,20
1974,31
1975,23
1976,20
1977,27
1978,29
1979,26
1980,37
1981,33
1982,27
1983,25
1984,14
1985,20
1986,17
1987,24
1988,25
1989,19
1990,22
1991,21
1992,29
1993,22
1994,24
1995,23
1996,34
1997,26
1998,22
1999,15
2000,21
2001,24
2002,12
2003,11
2004,17
2005,9
2006,15
2007,16
2008,15
2009,16
2010,11
2011,14
2012,9
