year,Cecilia (F),Cecilia (M)
1880,0.000218,0.000000
1881,0.000202,0.000000
1882,0.000167,0.000000
1883,0.000180,0.000000
1884,0.000259,0.000000
1885,0.000295,0.000000
1886,0.000266,0.000000
1887,0.000335,0.000000
1888,0.000324,0.000000
1889,0.000308,0.000000
1890,0.000302,0.000000
1891,0.000422,0.000000
1892,0.000413,0.000000
1893,0.000387,0.000000
1894,0.000425,0.000000
1895,0.000393,0.000000
1896,0.000470,0.000000
1897,0.000461,0.000000
1898,0.000558,0.000000
1899,0.000604,0.000000
1900,0.000553,0.000000
1901,0.000567,0.000000
1902,0.000504,0.000000
1903,0.000572,0.000000
1904,0.000620,0.000000
1905,0.000559,0.000000
1906,0.000511,0.000000
1907,0.000503,0.000000
1908,0.000538,0.000000
1909,0.000503,0.000000
1910,0.000486,0.000000
1911,0.000531,0.000000
1912,0.000458,0.000000
1913,0.000427,0.000000
1914,0.000371,0.000000
1915,0.000395,0.000000
1916,0.000354,0.000000
1917,0.000351,0.000000
1918,0.000348,0.000000
1919,0.000354,0.000000
1920,0.000335,0.000000
1921,0.000326,0.000000
1922,0.000321,0.000000
1923,0.000322,0.000000
1924,0.000322,0.000000
1925,0.000302,0.000000
1926,0.000312,0.000002
1927,0.000282,0.000000
1928,0.000252,0.000000
1929,0.000229,0.000000
1930,0.000254,0.000002
1931,0.000219,0.000000
1932,0.000222,0.000000
1933,0.000216,0.000000
1934,0.000211,0.000000
1935,0.000233,0.000000
1936,0.000244,0.000000
1937,0.000263,0.000000
1938,0.000248,0.000000
1939,0.000255,0.000000
1940,0.000273,0.000000
1941,0.000275,0.000002
1942,0.000304,0.000000
1943,0.000298,0.000000
1944,0.000262,0.000002
1945,0.000248,0.000000
1946,0.000251,0.000000
1947,0.000270,0.000000
1948,0.000277,0.000001
1949,0.000271,0.000000
1950,0.000262,0.000000
1951,0.000260,0.000000
1952,0.000259,0.000000
1953,0.000270,0.000000
1954,0.000248,0.000000
1955,0.000250,0.000000
1956,0.000241,0.000000
1957,0.000252,0.000000
1958,0.000243,0.000000
1959,0.000251,0.000000
1960,0.000249,0.000000
1961,0.000232,0.000000
1962,0.000261,0.000000
1963,0.000220,0.000000
1964,0.000214,0.000001
1965,0.000202,0.000000
1966,0.000185,0.000000
1967,0.000183,0.000000
1968,0.000162,0.000000
1969,0.000156,0.000000
1970,0.000171,0.000000
1971,0.000175,0.000001
1972,0.000181,0.000003
1973,0.000166,0.000002
1974,0.000178,0.000000
1975,0.000169,0.000000
1976,0.000170,0.000000
1977,0.000164,0.000000
1978,0.000175,0.000002
1979,0.000191,0.000002
1980,0.000190,0.000002
1981,0.000198,0.000002
1982,0.000189,0.000002
1983,0.000183,0.000003
1984,0.000207,0.000003
1985,0.000184,0.000002
1986,0.000193,0.000002
1987,0.000206,0.000003
1988,0.000196,0.000000
1989,0.000211,0.000003
1990,0.000214,0.000002
1991,0.000248,0.000002
1992,0.000265,0.000003
1993,0.000265,0.000002
1994,0.000260,0.000000
1995,0.000308,0.000000
1996,0.000294,0.000000
1997,0.000265,0.000000
1998,0.000286,0.000002
1999,0.000299,0.000000
2000,0.000301,0.000000
2001,0.000311,0.000000
2002,0.000313,0.000000
2003,0.000306,0.000000
2004,0.000308,0.000001
2005,0.000309,0.000000
2006,0.000315,0.000000
2007,0.000311,0.000000
2008,0.000321,0.000000
2009,0.000323,0.000000
2010,0.000325,0.000000
2011,0.000361,0.000000
2012,0.000401,0.000000
2013,0.000396,0.000000
