year,Charlotta
1880,5
1881,0
1882,0
1883,0
1884,7
1885,5
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,8
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,0
1912,0
1913,7
1914,0
1915,6
1916,5
1917,8
1918,9
1919,11
1920,13
1921,14
1922,7
1923,8
1924,10
1925,5
1926,10
1927,11
1928,8
1929,9
1930,10
1931,7
1932,7
1933,9
1934,12
1935,9
1936,0
1937,10
1938,8
1939,10
1940,8
1941,10
1942,8
1943,8
1944,12
1945,11
1946,11
1947,14
1948,16
1949,16
1950,22
1951,20
1952,20
1953,13
1954,11
1955,18
1956,10
1957,16
1958,16
1959,15
1960,16
1961,19
1962,12
1963,13
1964,16
1965,18
1966,20
1967,26
1968,17
1969,17
1970,18
1971,21
1972,12
1973,15
1974,17
1975,13
1976,5
1977,11
1978,10
1979,10
1980,8
1981,10
1982,9
1983,11
1984,5
1985,6
1986,7
1987,7
1988,10
1989,5
1990,5
1991,9
1992,7
1993,0
1994,6
1995,0
1996,5
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
