year,Cheyenne (F),Cheyenne (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000002,0.000000
1947,0.000004,0.000000
1948,0.000002,0.000000
1949,0.000004,0.000001
1950,0.000003,0.000000
1951,0.000004,0.000002
1952,0.000004,0.000000
1953,0.000004,0.000002
1954,0.000005,0.000000
1955,0.000004,0.000001
1956,0.000005,0.000009
1957,0.000003,0.000016
1958,0.000001,0.000010
1959,0.000002,0.000004
1960,0.000002,0.000007
1961,0.000000,0.000005
1962,0.000001,0.000003
1963,0.000002,0.000003
1964,0.000002,0.000003
1965,0.000002,0.000005
1966,0.000002,0.000005
1967,0.000001,0.000007
1968,0.000004,0.000004
1969,0.000006,0.000005
1970,0.000008,0.000007
1971,0.000011,0.000010
1972,0.000017,0.000014
1973,0.000018,0.000020
1974,0.000028,0.000017
1975,0.000029,0.000021
1976,0.000041,0.000018
1977,0.000034,0.000021
1978,0.000037,0.000019
1979,0.000039,0.000018
1980,0.000051,0.000017
1981,0.000047,0.000016
1982,0.000054,0.000016
1983,0.000058,0.000016
1984,0.000050,0.000011
1985,0.000050,0.000011
1986,0.000066,0.000013
1987,0.000078,0.000013
1988,0.000085,0.000012
1989,0.000097,0.000016
1990,0.000211,0.000013
1991,0.000440,0.000031
1992,0.000468,0.000021
1993,0.000629,0.000029
1994,0.000889,0.000031
1995,0.001117,0.000033
1996,0.001335,0.000030
1997,0.001314,0.000023
1998,0.001177,0.000017
1999,0.001024,0.000013
2000,0.000891,0.000013
2001,0.000768,0.000012
2002,0.000725,0.000011
2003,0.000651,0.000008
2004,0.000572,0.000010
2005,0.000511,0.000004
2006,0.000525,0.000005
2007,0.000592,0.000004
2008,0.000536,0.000004
2009,0.000463,0.000004
2010,0.000370,0.000004
2011,0.000317,0.000003
2012,0.000278,0.000002
