year,Ceil
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,5
1900,11
1901,0
1902,10
1903,8
1904,15
1905,19
1906,12
1907,17
1908,16
1909,15
1910,14
1911,14
1912,25
1913,16
1914,21
1915,31
1916,31
1917,26
1918,22
1919,19
1920,12
1921,9
1922,14
1923,11
1924,12
1925,6
1926,12
1927,8
1928,7
1929,7
1930,5
1931,6
1932,11
1933,0
1934,7
1935,8
1936,7
1937,7
1938,7
1939,0
1940,6
1941,10
1942,11
1943,7
1944,6
1945,5
1946,15
1947,11
1948,8
1949,5
1950,14
1951,14
1952,12
1953,15
1954,18
1955,15
1956,16
1957,15
1958,9
1959,20
1960,10
1961,7
1962,11
1963,8
1964,0
1965,7
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
