year,Charmane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,8
1945,0
1946,0
1947,7
1948,0
1949,6
1950,0
1951,5
1952,16
1953,15
1954,16
1955,13
1956,19
1957,15
1958,14
1959,17
1960,11
1961,9
1962,16
1963,12
1964,23
1965,26
1966,19
1967,20
1968,19
1969,22
1970,31
1971,16
1972,25
1973,16
1974,12
1975,12
1976,23
1977,18
1978,11
1979,13
1980,13
1981,16
1982,10
1983,18
1984,14
1985,12
1986,10
1987,20
1988,18
1989,17
1990,19
1991,17
1992,17
1993,17
1994,15
1995,6
1996,10
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
