year,Carolann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,11
1933,8
1934,19
1935,43
1936,60
1937,67
1938,87
1939,99
1940,127
1941,156
1942,218
1943,234
1944,225
1945,238
1946,254
1947,227
1948,178
1949,137
1950,139
1951,129
1952,114
1953,97
1954,84
1955,78
1956,83
1957,89
1958,89
1959,81
1960,100
1961,96
1962,90
1963,87
1964,80
1965,61
1966,75
1967,65
1968,63
1969,71
1970,53
1971,37
1972,42
1973,22
1974,19
1975,21
1976,18
1977,18
1978,10
1979,19
1980,22
1981,20
1982,21
1983,28
1984,48
1985,24
1986,42
1987,50
1988,69
1989,53
1990,58
1991,46
1992,56
1993,56
1994,53
1995,36
1996,31
1997,30
1998,39
1999,46
2000,40
2001,41
2002,33
2003,29
2004,29
2005,18
2006,21
2007,15
2008,16
2009,12
2010,18
2011,10
2012,17
