year,Cleona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,6
1899,6
1900,0
1901,7
1902,11
1903,7
1904,5
1905,6
1906,10
1907,9
1908,7
1909,10
1910,16
1911,17
1912,16
1913,19
1914,15
1915,26
1916,15
1917,27
1918,28
1919,34
1920,30
1921,27
1922,34
1923,24
1924,26
1925,23
1926,15
1927,25
1928,21
1929,19
1930,19
1931,10
1932,13
1933,8
1934,23
1935,15
1936,12
1937,13
1938,9
1939,11
1940,9
1941,12
1942,13
1943,12
1944,6
1945,5
1946,0
1947,10
1948,8
1949,5
1950,0
1951,0
1952,5
1953,6
1954,0
1955,9
1956,7
1957,0
1958,0
1959,5
1960,0
1961,0
1962,6
1963,5
1964,0
1965,0
1966,7
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
