year,Cassandra (F),Cassandra (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000013,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000012,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000006,0.000000
1913,0.000004,0.000000
1914,0.000006,0.000000
1915,0.000007,0.000000
1916,0.000004,0.000000
1917,0.000003,0.000000
1918,0.000004,0.000000
1919,0.000003,0.000000
1920,0.000005,0.000000
1921,0.000003,0.000000
1922,0.000003,0.000000
1923,0.000002,0.000000
1924,0.000003,0.000000
1925,0.000003,0.000000
1926,0.000003,0.000000
1927,0.000004,0.000000
1928,0.000005,0.000000
1929,0.000003,0.000000
1930,0.000005,0.000000
1931,0.000005,0.000000
1932,0.000005,0.000000
1933,0.000004,0.000000
1934,0.000004,0.000000
1935,0.000008,0.000000
1936,0.000009,0.000000
1937,0.000010,0.000000
1938,0.000012,0.000000
1939,0.000015,0.000000
1940,0.000021,0.000000
1941,0.000018,0.000000
1942,0.000067,0.000000
1943,0.000085,0.000000
1944,0.000098,0.000000
1945,0.000090,0.000000
1946,0.000090,0.000000
1947,0.000105,0.000000
1948,0.000128,0.000000
1949,0.000153,0.000000
1950,0.000183,0.000000
1951,0.000187,0.000000
1952,0.000164,0.000000
1953,0.000155,0.000000
1954,0.000159,0.000000
1955,0.000178,0.000000
1956,0.000196,0.000000
1957,0.000239,0.000000
1958,0.000228,0.000000
1959,0.000251,0.000001
1960,0.000308,0.000001
1961,0.000350,0.000002
1962,0.000380,0.000001
1963,0.000417,0.000000
1964,0.000408,0.000002
1965,0.000431,0.000002
1966,0.000459,0.000002
1967,0.000484,0.000002
1968,0.000681,0.000001
1969,0.000622,0.000002
1970,0.000721,0.000002
1971,0.000693,0.000002
1972,0.000677,0.000003
1973,0.000602,0.000000
1974,0.000568,0.000003
1975,0.000526,0.000000
1976,0.000447,0.000000
1977,0.000526,0.000002
1978,0.000571,0.000003
1979,0.000585,0.000004
1980,0.000613,0.000002
1981,0.000826,0.000003
1982,0.001330,0.000005
1983,0.001157,0.000003
1984,0.001314,0.000005
1985,0.001324,0.000004
1986,0.001403,0.000004
1987,0.001264,0.000003
1988,0.001550,0.000007
1989,0.001742,0.000005
1990,0.001785,0.000005
1991,0.001646,0.000003
1992,0.001644,0.000004
1993,0.001438,0.000003
1994,0.001361,0.000002
1995,0.001216,0.000002
1996,0.001101,0.000002
1997,0.001131,0.000002
1998,0.001037,0.000002
1999,0.001010,0.000000
2000,0.000875,0.000000
2001,0.000758,0.000000
2002,0.000731,0.000001
2003,0.000614,0.000001
2004,0.000517,0.000002
2005,0.000486,0.000001
2006,0.000394,0.000000
2007,0.000332,0.000000
2008,0.000302,0.000000
2009,0.000264,0.000000
2010,0.000266,0.000000
2011,0.000213,0.000000
2012,0.000204,0.000000
