year,Caralyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,7
1940,0
1941,0
1942,7
1943,8
1944,0
1945,12
1946,5
1947,8
1948,5
1949,8
1950,5
1951,7
1952,8
1953,9
1954,7
1955,6
1956,8
1957,8
1958,11
1959,7
1960,10
1961,19
1962,12
1963,18
1964,14
1965,11
1966,7
1967,11
1968,14
1969,10
1970,16
1971,5
1972,7
1973,5
1974,5
1975,11
1976,7
1977,7
1978,12
1979,18
1980,18
1981,11
1982,13
1983,22
1984,13
1985,12
1986,15
1987,14
1988,22
1989,22
1990,13
1991,22
1992,28
1993,16
1994,12
1995,21
1996,16
1997,14
1998,33
1999,17
2000,20
2001,15
2002,17
2003,16
2004,25
2005,22
2006,27
2007,18
2008,22
2009,33
2010,25
2011,18
2012,21
