year,Clarnce
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,9
1903,7
1904,0
1905,0
1906,8
1907,0
1908,0
1909,0
1910,5
1911,0
1912,6
1913,8
1914,12
1915,8
1916,13
1917,9
1918,18
1919,20
1920,22
1921,21
1922,20
1923,29
1924,18
1925,33
1926,24
1927,32
1928,34
1929,36
1930,20
1931,28
1932,33
1933,22
1934,29
1935,31
1936,23
1937,14
1938,15
1939,15
1940,18
1941,13
1942,17
1943,20
1944,17
1945,22
1946,9
1947,17
1948,19
1949,13
1950,15
1951,8
1952,10
1953,8
1954,6
1955,15
1956,13
1957,7
1958,5
1959,7
1960,10
1961,8
1962,5
1963,0
1964,5
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
