year,Cordelia
1880,58
1881,49
1882,39
1883,51
1884,58
1885,58
1886,64
1887,58
1888,54
1889,57
1890,48
1891,51
1892,56
1893,62
1894,52
1895,54
1896,51
1897,71
1898,68
1899,62
1900,79
1901,51
1902,49
1903,52
1904,54
1905,72
1906,57
1907,61
1908,56
1909,69
1910,75
1911,56
1912,90
1913,94
1914,89
1915,135
1916,147
1917,130
1918,125
1919,146
1920,120
1921,141
1922,115
1923,128
1924,132
1925,99
1926,114
1927,108
1928,79
1929,95
1930,88
1931,90
1932,84
1933,76
1934,67
1935,77
1936,92
1937,109
1938,69
1939,87
1940,86
1941,81
1942,70
1943,75
1944,89
1945,68
1946,79
1947,65
1948,90
1949,77
1950,85
1951,83
1952,67
1953,80
1954,66
1955,75
1956,93
1957,76
1958,79
1959,68
1960,79
1961,61
1962,76
1963,54
1964,61
1965,48
1966,67
1967,41
1968,39
1969,40
1970,39
1971,41
1972,33
1973,40
1974,27
1975,39
1976,41
1977,31
1978,31
1979,30
1980,39
1981,29
1982,34
1983,28
1984,28
1985,30
1986,28
1987,39
1988,39
1989,42
1990,38
1991,31
1992,30
1993,34
1994,29
1995,44
1996,25
1997,32
1998,58
1999,46
2000,64
2001,65
2002,115
2003,150
2004,128
2005,149
2006,129
2007,111
2008,132
2009,175
2010,180
2011,180
2012,207
