year,Catarina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,8
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,7
1899,6
1900,7
1901,11
1902,8
1903,0
1904,7
1905,0
1906,5
1907,10
1908,13
1909,9
1910,10
1911,9
1912,17
1913,16
1914,13
1915,11
1916,15
1917,18
1918,16
1919,29
1920,14
1921,24
1922,28
1923,20
1924,29
1925,15
1926,27
1927,23
1928,25
1929,28
1930,26
1931,27
1932,15
1933,19
1934,12
1935,21
1936,25
1937,17
1938,9
1939,16
1940,17
1941,16
1942,13
1943,17
1944,15
1945,9
1946,10
1947,10
1948,11
1949,17
1950,12
1951,10
1952,12
1953,14
1954,11
1955,8
1956,18
1957,6
1958,7
1959,15
1960,14
1961,13
1962,18
1963,14
1964,10
1965,15
1966,20
1967,7
1968,17
1969,14
1970,16
1971,18
1972,15
1973,18
1974,9
1975,7
1976,15
1977,9
1978,18
1979,11
1980,21
1981,13
1982,17
1983,14
1984,28
1985,19
1986,17
1987,16
1988,34
1989,30
1990,34
1991,56
1992,68
1993,84
1994,71
1995,80
1996,59
1997,48
1998,58
1999,56
2000,71
2001,84
2002,72
2003,63
2004,82
2005,68
2006,65
2007,52
2008,79
2009,52
2010,64
2011,56
2012,63
