year,Clair (F),Clair (M)
1880,0.000025,0.000060
1881,0.000000,0.000047
1882,0.000000,0.000068
1883,0.000000,0.000069
1884,0.000000,0.000053
1885,0.000000,0.000058
1886,0.000000,0.000078
1887,0.000000,0.000049
1888,0.000000,0.000087
1889,0.000017,0.000069
1890,0.000000,0.000066
1891,0.000024,0.000112
1892,0.000015,0.000084
1893,0.000000,0.000077
1894,0.000000,0.000094
1895,0.000020,0.000088
1896,0.000028,0.000092
1897,0.000017,0.000078
1898,0.000018,0.000097
1899,0.000044,0.000088
1900,0.000024,0.000087
1901,0.000020,0.000061
1902,0.000021,0.000096
1903,0.000024,0.000087
1904,0.000022,0.000104
1905,0.000031,0.000101
1906,0.000016,0.000093
1907,0.000024,0.000107
1908,0.000016,0.000108
1909,0.000018,0.000076
1910,0.000014,0.000059
1911,0.000023,0.000109
1912,0.000017,0.000138
1913,0.000011,0.000168
1914,0.000023,0.000144
1915,0.000014,0.000162
1916,0.000017,0.000156
1917,0.000016,0.000156
1918,0.000019,0.000150
1919,0.000014,0.000161
1920,0.000018,0.000150
1921,0.000015,0.000138
1922,0.000015,0.000139
1923,0.000021,0.000155
1924,0.000009,0.000137
1925,0.000015,0.000133
1926,0.000015,0.000147
1927,0.000016,0.000124
1928,0.000021,0.000127
1929,0.000016,0.000130
1930,0.000023,0.000141
1931,0.000015,0.000121
1932,0.000015,0.000113
1933,0.000014,0.000124
1934,0.000014,0.000115
1935,0.000011,0.000104
1936,0.000009,0.000109
1937,0.000015,0.000093
1938,0.000011,0.000080
1939,0.000010,0.000094
1940,0.000013,0.000076
1941,0.000012,0.000068
1942,0.000010,0.000066
1943,0.000007,0.000058
1944,0.000016,0.000059
1945,0.000011,0.000050
1946,0.000011,0.000045
1947,0.000010,0.000044
1948,0.000011,0.000043
1949,0.000009,0.000033
1950,0.000013,0.000032
1951,0.000011,0.000037
1952,0.000011,0.000034
1953,0.000011,0.000032
1954,0.000010,0.000026
1955,0.000009,0.000025
1956,0.000007,0.000028
1957,0.000005,0.000019
1958,0.000010,0.000020
1959,0.000010,0.000017
1960,0.000008,0.000016
1961,0.000010,0.000018
1962,0.000008,0.000016
1963,0.000008,0.000017
1964,0.000007,0.000013
1965,0.000004,0.000016
1966,0.000006,0.000012
1967,0.000008,0.000010
1968,0.000004,0.000007
1969,0.000005,0.000009
1970,0.000005,0.000007
1971,0.000003,0.000006
1972,0.000004,0.000009
1973,0.000005,0.000008
1974,0.000007,0.000008
1975,0.000009,0.000005
1976,0.000009,0.000006
1977,0.000007,0.000004
1978,0.000009,0.000005
1979,0.000007,0.000004
1980,0.000006,0.000006
1981,0.000009,0.000003
1982,0.000012,0.000002
1983,0.000009,0.000005
1984,0.000012,0.000003
1985,0.000015,0.000003
1986,0.000015,0.000005
1987,0.000012,0.000000
1988,0.000018,0.000003
1989,0.000013,0.000000
1990,0.000012,0.000002
1991,0.000017,0.000000
1992,0.000015,0.000002
1993,0.000011,0.000001
1994,0.000013,0.000000
1995,0.000017,0.000002
1996,0.000016,0.000003
1997,0.000015,0.000002
1998,0.000013,0.000000
1999,0.000013,0.000000
2000,0.000013,0.000000
2001,0.000012,0.000002
2002,0.000014,0.000001
2003,0.000013,0.000000
2004,0.000011,0.000000
2005,0.000013,0.000000
2006,0.000012,0.000000
2007,0.000016,0.000000
2008,0.000016,0.000000
2009,0.000015,0.000000
2010,0.000012,0.000000
2011,0.000014,0.000001
2012,0.000015,0.000000
