year,Costella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,0
1915,6
1916,9
1917,0
1918,7
1919,8
1920,0
1921,5
1922,6
1923,0
1924,10
1925,5
1926,0
1927,6
1928,11
1929,8
1930,14
1931,6
1932,14
1933,14
1934,6
1935,8
1936,8
1937,16
1938,10
1939,6
1940,5
1941,8
1942,14
1943,16
1944,8
1945,11
1946,14
1947,15
1948,18
1949,10
1950,10
1951,9
1952,7
1953,14
1954,14
1955,7
1956,7
1957,9
1958,5
1959,5
1960,9
1961,7
1962,6
1963,0
1964,5
1965,0
1966,5
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
