year,Camille (F),Camille (M)
1880,0.000040,0.000000
1881,0.000062,0.000000
1882,0.000032,0.000027
1883,0.000051,0.000000
1884,0.000029,0.000000
1885,0.000071,0.000000
1886,0.000078,0.000000
1887,0.000032,0.000020
1888,0.000053,0.000000
1889,0.000069,0.000000
1890,0.000070,0.000000
1891,0.000080,0.000000
1892,0.000069,0.000000
1893,0.000089,0.000000
1894,0.000109,0.000018
1895,0.000094,0.000000
1896,0.000076,0.000000
1897,0.000075,0.000000
1898,0.000107,0.000000
1899,0.000109,0.000000
1900,0.000104,0.000000
1901,0.000095,0.000000
1902,0.000098,0.000000
1903,0.000110,0.000000
1904,0.000124,0.000015
1905,0.000080,0.000014
1906,0.000077,0.000000
1907,0.000144,0.000000
1908,0.000127,0.000012
1909,0.000131,0.000012
1910,0.000117,0.000014
1911,0.000113,0.000019
1912,0.000093,0.000010
1913,0.000097,0.000011
1914,0.000078,0.000018
1915,0.000090,0.000022
1916,0.000095,0.000014
1917,0.000084,0.000014
1918,0.000090,0.000013
1919,0.000073,0.000015
1920,0.000080,0.000013
1921,0.000066,0.000015
1922,0.000071,0.000014
1923,0.000076,0.000011
1924,0.000074,0.000010
1925,0.000064,0.000014
1926,0.000064,0.000015
1927,0.000060,0.000013
1928,0.000080,0.000013
1929,0.000067,0.000017
1930,0.000070,0.000009
1931,0.000077,0.000007
1932,0.000079,0.000009
1933,0.000076,0.000014
1934,0.000079,0.000010
1935,0.000080,0.000008
1936,0.000095,0.000007
1937,0.000134,0.000009
1938,0.000139,0.000009
1939,0.000153,0.000004
1940,0.000129,0.000007
1941,0.000144,0.000004
1942,0.000164,0.000005
1943,0.000193,0.000007
1944,0.000179,0.000006
1945,0.000141,0.000006
1946,0.000170,0.000006
1947,0.000143,0.000007
1948,0.000136,0.000006
1949,0.000144,0.000006
1950,0.000136,0.000003
1951,0.000119,0.000003
1952,0.000110,0.000003
1953,0.000125,0.000003
1954,0.000120,0.000004
1955,0.000126,0.000003
1956,0.000121,0.000002
1957,0.000120,0.000004
1958,0.000131,0.000001
1959,0.000131,0.000003
1960,0.000120,0.000001
1961,0.000131,0.000002
1962,0.000125,0.000002
1963,0.000123,0.000002
1964,0.000121,0.000002
1965,0.000124,0.000004
1966,0.000133,0.000003
1967,0.000148,0.000000
1968,0.000161,0.000000
1969,0.000225,0.000002
1970,0.000228,0.000000
1971,0.000184,0.000001
1972,0.000163,0.000002
1973,0.000189,0.000002
1974,0.000151,0.000002
1975,0.000152,0.000002
1976,0.000167,0.000003
1977,0.000170,0.000002
1978,0.000179,0.000003
1979,0.000184,0.000003
1980,0.000194,0.000004
1981,0.000183,0.000002
1982,0.000180,0.000000
1983,0.000180,0.000000
1984,0.000181,0.000003
1985,0.000203,0.000003
1986,0.000189,0.000002
1987,0.000196,0.000002
1988,0.000218,0.000002
1989,0.000228,0.000004
1990,0.000296,0.000001
1991,0.000271,0.000003
1992,0.000283,0.000001
1993,0.000269,0.000000
1994,0.000257,0.000001
1995,0.000273,0.000001
1996,0.000261,0.000000
1997,0.000277,0.000000
1998,0.000291,0.000002
1999,0.000312,0.000002
2000,0.000317,0.000000
2001,0.000328,0.000000
2002,0.000318,0.000000
2003,0.000336,0.000001
2004,0.000334,0.000000
2005,0.000297,0.000000
2006,0.000271,0.000001
2007,0.000280,0.000001
2008,0.000282,0.000000
2009,0.000302,0.000002
2010,0.000330,0.000001
2011,0.000361,0.000002
2012,0.000368,0.000000
