year,Catheryn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,6
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,12
1912,8
1913,15
1914,19
1915,20
1916,20
1917,27
1918,13
1919,26
1920,26
1921,24
1922,22
1923,14
1924,18
1925,23
1926,26
1927,26
1928,11
1929,10
1930,11
1931,12
1932,13
1933,20
1934,15
1935,10
1936,12
1937,14
1938,13
1939,10
1940,8
1941,6
1942,19
1943,13
1944,9
1945,11
1946,15
1947,18
1948,23
1949,26
1950,31
1951,25
1952,26
1953,29
1954,25
1955,31
1956,23
1957,15
1958,20
1959,16
1960,14
1961,21
1962,15
1963,12
1964,13
1965,13
1966,8
1967,13
1968,14
1969,13
1970,20
1971,15
1972,18
1973,18
1974,11
1975,15
1976,8
1977,9
1978,12
1979,14
1980,12
1981,15
1982,16
1983,17
1984,13
1985,17
1986,11
1987,9
1988,18
1989,19
1990,25
1991,25
1992,14
1993,17
1994,14
1995,22
1996,8
1997,13
1998,12
1999,20
2000,22
2001,23
2002,19
2003,13
2004,19
2005,22
2006,11
2007,14
2008,12
2009,11
2010,18
2011,11
2012,8
