year,Connell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,0
1917,0
1918,8
1919,9
1920,12
1921,8
1922,6
1923,5
1924,10
1925,11
1926,5
1927,11
1928,6
1929,5
1930,6
1931,8
1932,8
1933,7
1934,8
1935,16
1936,12
1937,13
1938,8
1939,12
1940,10
1941,9
1942,17
1943,8
1944,9
1945,10
1946,18
1947,7
1948,16
1949,13
1950,20
1951,17
1952,26
1953,21
1954,33
1955,23
1956,32
1957,18
1958,22
1959,21
1960,25
1961,15
1962,28
1963,34
1964,21
1965,17
1966,17
1967,17
1968,8
1969,12
1970,20
1971,17
1972,12
1973,10
1974,15
1975,17
1976,8
1977,18
1978,20
1979,13
1980,11
1981,13
1982,11
1983,7
1984,6
1985,17
1986,10
1987,9
1988,13
1989,13
1990,13
1991,15
1992,20
1993,20
1994,11
1995,14
1996,24
1997,18
1998,13
1999,10
2000,19
2001,14
2002,25
2003,18
2004,18
2005,15
2006,18
2007,22
2008,15
2009,23
2010,14
2011,23
2012,23
