year,Conan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,7
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,6
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,6
1951,11
1952,0
1953,9
1954,7
1955,12
1956,9
1957,0
1958,7
1959,5
1960,11
1961,16
1962,7
1963,10
1964,12
1965,8
1966,11
1967,12
1968,18
1969,26
1970,33
1971,33
1972,56
1973,41
1974,49
1975,49
1976,55
1977,55
1978,50
1979,49
1980,55
1981,63
1982,40
1983,38
1984,21
1985,16
1986,13
1987,32
1988,19
1989,19
1990,13
1991,17
1992,15
1993,20
1994,27
1995,29
1996,31
1997,30
1998,27
1999,21
2000,25
2001,32
2002,19
2003,24
2004,32
2005,30
2006,22
2007,19
2008,26
2009,34
2010,35
2011,33
2012,54
