year,Christella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,0
1919,7
1920,8
1921,7
1922,10
1923,8
1924,5
1925,8
1926,5
1927,0
1928,0
1929,0
1930,8
1931,10
1932,0
1933,7
1934,0
1935,8
1936,8
1937,8
1938,6
1939,5
1940,6
1941,11
1942,6
1943,5
1944,0
1945,0
1946,0
1947,9
1948,13
1949,8
1950,13
1951,10
1952,12
1953,10
1954,13
1955,16
1956,8
1957,15
1958,13
1959,10
1960,15
1961,15
1962,14
1963,16
1964,7
1965,13
1966,9
1967,9
1968,9
1969,8
1970,12
1971,12
1972,7
1973,18
1974,6
1975,9
1976,13
1977,8
1978,10
1979,10
1980,10
1981,7
1982,10
1983,9
1984,10
1985,6
1986,7
1987,6
1988,8
1989,6
1990,0
1991,0
1992,6
1993,7
1994,0
1995,0
1996,0
1997,6
1998,0
1999,6
2000,0
2001,7
2002,0
2003,0
2004,7
2005,0
2006,0
2007,0
2008,7
2009,6
2010,0
2011,0
2012,0
